,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
0,232680.0,1053,27.0,1.0,2.0,35.4146446,136.5723882,5273.827190641182,20200301
0,612167.0,1130,10.0,6.0,27.0,35.3123246,136.6311673,1063.5918471418968,20200301
0,12426.0,840,8.0,1.0,15.0,35.1443459,136.9417275,32946.61637562294,20200302
1,12426.0,846,6.0,1.0,5.0,35.2723806,136.6318235,31585.76922346222,20200302
2,12426.0,851,5.0,2.0,80.0,35.2757956,136.633546,411.12558237040747,20200302
3,12426.0,855,4.0,3.0,48.0,35.2788002,136.6373947,483.9450140763215,20200302
4,12426.0,859,4.0,10.0,120.0,35.2788002,136.6373947,0.0,20200302
5,12426.0,907,48.0,1.0,4.0,35.2847811,136.6374571,665.814898177601,20200302
6,12426.0,910,3.0,1.0,5.0,35.2855745,136.6377836,93.17087394731016,20200302
7,12426.0,915,5.0,1.0,10.0,35.2886757,136.647474,945.7891148272915,20200302
0,24089.0,919,5.0,2.0,12.0,35.3603542,136.6057782,251.11747933151247,20200302
1,24089.0,922,3.0,2.0,6.0,35.3612717,136.6047428,138.806365864369,20200302
2,24089.0,933,11.0,10.0,152.0,35.3620078,136.6036366,129.61290529250456,20200302
3,24089.0,940,7.0,2.0,8.0,35.361546000000004,136.60777675,379.35294716943974,20200302
4,24089.0,945,5.0,6.0,120.0,35.3604738,136.6073637,125.10853042156486,20200302
5,24089.0,952,7.0,10.0,100.0,35.3635205,136.606669,344.97088644223106,20200302
6,24089.0,1006,54.0,5.0,59.0,35.362036625,136.600051075,623.0798565420882,20200302
7,24089.0,1031,25.0,1.0,10.0,35.3606745,136.6132461,1207.4438309508942,20200302
0,26440.0,936,9.0,7.0,83.0,35.3307307,136.6188555,73.54221725241672,20200302
1,26440.0,941,5.0,5.0,73.0,35.3311948,136.6194683,75.93643263667512,20200302
2,26440.0,951,10.0,37.0,429.0,35.331004,136.6202157,71.1222755090183,20200302
3,26440.0,955,4.0,2.0,9.0,35.3314775,136.6200495,54.828322995062805,20200302
0,31105.0,956,2.0,2.0,4.0,35.390662,136.5923884,381.24760145827565,20200302
1,31105.0,1003,47.0,3.0,9.0,35.3942398,136.5911002,415.08079212616735,20200302
2,31105.0,1014,11.0,1.0,5.0,35.3927631,136.5881913,310.9738018244133,20200302
3,31105.0,1022,8.0,2.0,36.0,35.3969259,136.5908124,520.8783313131004,20200302
4,31105.0,1028,6.0,1.0,10.0,35.4031171,136.5904682,689.9085572084568,20200302
5,31105.0,1037,9.0,20.0,200.0,35.3965424,136.5843683,917.6233721996841,20200302
6,31105.0,1054,17.0,2.0,3.0,35.39040515,136.58444235000002,683.228591217622,20200302
7,31105.0,1105,51.0,2.0,72.0,35.387883,136.5848653,283.3760080630317,20200302
8,31105.0,1110,5.0,4.0,56.0,35.3872715,136.5840852,98.2139434870699,20200302
9,31105.0,1113,3.0,2.0,12.0,35.38695785,136.58439535000002,44.8481786895676,20200302
0,31202.0,929,9.0,1.0,10.0,35.3461259,136.6222838,226.94685741973896,20200302
1,31202.0,932,3.0,10.0,230.0,35.3450573,136.6204297,206.13957138027214,20200302
2,31202.0,948,16.0,1.0,40.0,35.3454448,136.6228276,221.96404515594386,20200302
3,31202.0,952,4.0,1.0,10.0,35.3453144,136.6225036,32.805755551736624,20200302
4,31202.0,1004,52.0,1.0,2.0,35.3467062,136.6114652,1014.1946457812923,20200302
5,31202.0,1008,4.0,1.0,8.0,35.3455023,136.6107962,147.1417831858678,20200302
6,31202.0,1013,5.0,7.0,115.0,35.3454437,136.6108994,11.417662893778056,20200302
7,31202.0,1019,6.0,1.0,8.0,35.3441608,136.608256,279.2978597741059,20200302
8,31202.0,1024,5.0,4.0,60.0,35.3411689,136.6078143,335.4630899728638,20200302
9,31202.0,1029,5.0,1.0,20.0,35.3385894,136.6119315,471.41725445588753,20200302
10,31202.0,1039,10.0,2.0,11.0,35.345786,136.6064212,944.5406875325327,20200302
11,31202.0,1046,7.0,3.0,69.0,35.3462911,136.6044707,185.81728603093913,20200302
