,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
14,31105.0,1151,7.0,1.0,60.0,35.3926836,136.5851489,262.2745514553494,20200401
15,31105.0,1155,4.0,2.0,20.0,35.38947335,136.58704895,396.78749620311766,20200401
16,31105.0,1159,4.0,1.0,22.0,35.387883,136.5848653,265.7329113865549,20200401
17,31105.0,1200,41.0,2.0,52.0,35.387883,136.5848653,0.0,20200401
18,31105.0,1203,3.0,2.0,12.0,35.3870036,136.5844111,106.21876811373467,20200401
19,31105.0,1210,7.0,1.0,10.0,35.3880424,136.5889823,430.6685341630286,20200401
20,31105.0,1213,3.0,1.0,10.0,35.3885669,136.5882217,90.40853896020334,20200401
21,31105.0,1227,14.0,10.0,355.0,35.3883083,136.5865576,153.74060998101425,20200401
0,31202.0,932,13.0,11.0,205.0,35.3452617,136.6222295,135.75767034879595,20200401
1,31202.0,935,3.0,1.0,34.0,35.3455217,136.6217917,49.17300909082824,20200401
2,31202.0,937,2.0,1.0,10.0,35.3462417,136.6210934,102.19761673949039,20200401
3,31202.0,942,5.0,1.0,16.0,35.3458027,136.6195956,144.51434888814657,20200401
4,31202.0,949,7.0,17.0,414.0,35.3450573,136.6204297,112.34489599431537,20200401
5,31202.0,951,2.0,1.0,20.0,35.3452137,136.6178167,237.9017739709907,20200401
6,31202.0,954,3.0,1.0,5.0,35.3458683,136.6180033,74.81359509949682,20200401
7,31202.0,1000,46.0,3.0,60.0,35.3454448,136.6228276,440.57951707922973,20200401
8,31202.0,1003,3.0,1.0,20.0,35.3425044,136.6119052,1044.4010507305347,20200401
9,31202.0,1011,8.0,12.0,172.0,35.3454437,136.6108994,339.7083913952718,20200401
10,31202.0,1015,4.0,3.0,84.0,35.346891,136.6131554,260.61244690001286,20200401
11,31202.0,1016,1.0,1.0,19.0,35.3471798,136.6111591,184.09135342217635,20200401
12,31202.0,1022,6.0,11.0,175.0,35.3466991,136.6095577,154.93986598180987,20200401
13,31202.0,1028,6.0,8.0,145.0,35.3411689,136.6078143,635.6472289285722,20200401
14,31202.0,1036,8.0,6.0,131.0,35.3477108,136.6061508,743.741088288429,20200401
15,31202.0,1042,6.0,3.0,44.0,35.3462911,136.6044707,219.6560522840332,20200401
16,31202.0,1108,66.0,2.0,68.0,35.3388826,136.6107975,1005.0857981238728,20200401
17,31202.0,1117,9.0,1.0,10.0,35.3395166,136.6140164,300.7015296019233,20200401
18,31202.0,1122,5.0,3.0,31.0,35.3394622,136.6143473,30.65251532254555,20200401
19,31202.0,1126,4.0,1.0,3.0,35.3392131,136.6132042,107.4425123055791,20200401
0,31727.0,919,3.0,6.0,116.0,35.3610688,136.6199532,85.91486327779349,20200401
1,31727.0,926,7.0,1.0,2.0,35.3651708,136.6167114,543.2516394039333,20200401
2,31727.0,933,7.0,2.0,15.0,35.3666672,136.6141248,287.89299512670493,20200401
3,31727.0,936,3.0,1.0,13.0,35.3625716,136.6172645,537.6798580190115,20200401
4,31727.0,942,6.0,1.0,2.0,35.3659956,136.6161442,394.492566623572,20200401
5,31727.0,947,5.0,2.0,14.0,35.365603,136.6164255,50.617418385648826,20200401
6,31727.0,951,4.0,3.0,32.0,35.3657504,136.6165536,20.111585157733213,20200401
7,31727.0,952,1.0,1.0,20.0,35.365649,136.6162064,33.47868173111278,20200401
8,31727.0,1014,62.0,8.0,118.0,35.36674466666667,136.6181951,217.8700574056881,20200401
9,31727.0,1030,16.0,2.0,9.0,35.3661958,136.6178395,69.10266369479696,20200401
10,31727.0,1032,2.0,20.0,200.0,35.3619715,136.619922,506.82526756410306,20200401
0,54056.0,918,6.0,10.0,72.0,35.3599151,136.584903,390.81633968087056,20200401
1,54056.0,921,3.0,2.0,28.0,35.3774508,136.5626851,2806.803736847986,20200401
2,54056.0,928,7.0,2.0,40.0,35.3602633,136.5876493,2965.8076494616794,20200401
3,54056.0,933,5.0,5.0,41.0,35.36187913333333,136.58675359999998,197.3996944837162,20200401
4,54056.0,937,4.0,1.0,10.0,35.3590048,136.5836487,426.4202368224763,20200401
5,54056.0,942,5.0,6.0,180.0,35.3552681,136.5824225,430.6065929865234,20200401
6,54056.0,945,3.0,1.0,20.0,35.3546872,136.5831452,92.12404105517072,20200401
7,54056.0,954,9.0,7.0,79.0,35.3700354,136.5798902,1733.9185581002262,20200401
8,54056.0,1003,49.0,1.0,5.0,35.3678112,136.5801702,248.89794384666345,20200401
9,54056.0,1010,7.0,2.0,81.0,35.3624469,136.5783103,620.5612630488305,20200401
0,54548.0,942,4.0,1.0,18.0,35.4032841,136.6039097,141.8830788149599,20200401
1,54548.0,948,6.0,2.0,78.0,35.4028136,136.6007406,292.2830916890975,20200401
2,54548.0,958,10.0,1.0,55.0,35.4052452,136.5912218,905.1126134374238,20200401
3,54548.0,1007,49.0,1.0,10.0,35.4133367,136.6025331,1365.4869858714076,20200401
4,54548.0,1010,3.0,3.0,65.0,33.8488907,132.699924,397588.1950696587,20200401
5,54548.0,1013,3.0,1.0,30.0,35.4148054,136.6035041,397736.8660066898,20200401
6,54548.0,1022,9.0,8.0,230.0,35.41789716666667,136.6022756,361.7692618802816,20200401
7,54548.0,1025,3.0,1.0,10.0,35.4159456,136.6025462,218.63004301545297,20200401
8,54548.0,1030,5.0,1.0,10.0,35.4144107,136.6049783,279.0687555699978,20200401
9,54548.0,1034,4.0,2.0,30.0,35.4139668,136.6069812,188.30952546863438,20200401
10,54548.0,1038,4.0,1.0,10.0,35.4150246,136.6068636,118.23608788291034,20200401
11,54548.0,1041,3.0,2.0,26.0,35.4156472,136.6066957,70.96162271226095,20200401
12,54548.0,1050,9.0,5.0,54.0,35.4186017,136.6064981,329.38160799660346,20200401
13,54548.0,1053,3.0,1.0,2.0,35.4181791,136.6047271,167.40900300643966,20200401
