,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
1,54548.0,1055,2.0,1.0,3.0,33.8488907,132.699924,397704.12878522824,20191101
2,54548.0,1111,56.0,2.0,50.0,35.41563565,136.60668205,398037.3116137821,20191101
3,54548.0,1115,4.0,5.0,90.0,35.4174591,136.6066823,202.9855311326387,20191101
4,54548.0,1118,3.0,1.0,10.0,35.4188566,136.6049481,221.25307706376975,20191101
5,54548.0,1122,4.0,1.0,5.0,35.418797,136.5996334,482.1868185593165,20191101
6,54548.0,1127,5.0,2.0,11.0,35.43119365,136.59935445,1380.2207381894536,20191101
7,54548.0,1129,2.0,2.0,20.0,35.4182537,136.5988253,1441.2681699444383,20191101
8,54548.0,1132,3.0,1.0,10.0,35.4174478,136.5960995,263.0538196616464,20191101
9,54548.0,1137,5.0,1.0,10.0,35.4173852,136.5942126,171.32139478876806,20191101
10,54548.0,1145,8.0,1.0,20.0,35.4134229,136.6005129,721.9788824585811,20191101
11,54548.0,1155,10.0,1.0,5.0,35.4132551,136.59938,104.46547124764015,20191101
12,54548.0,1157,2.0,1.0,5.0,35.4103769,136.597166,378.158653142899,20191101
13,54548.0,1213,56.0,1.0,20.0,35.4295215,136.5952197,2138.4685490828165,20191101
14,54548.0,1235,22.0,3.0,60.0,35.4276481,136.5918108,372.9662280537827,20191101
0,55135.0,959,25.0,3.0,15.0,35.3641225,136.629469,2137.4056420020943,20191101
1,55135.0,1005,46.0,1.0,40.0,35.3661642,136.6288907,233.26515939609877,20191101
2,55135.0,1007,2.0,2.0,10.0,35.3654324,136.62820245,102.66363398709666,20191101
3,55135.0,1018,11.0,1.0,53.0,35.3645624,136.6284586,99.60038179409337,20191101
4,55135.0,1024,6.0,3.0,15.0,35.3672364,136.6288325,299.59720340775107,20191101
5,55135.0,1041,17.0,2.0,40.0,35.366256,136.6305236,188.3541308378882,20191101
6,55135.0,1049,8.0,1.0,2.0,35.3668521,136.6306776,67.8140637215583,20191101
7,55135.0,1054,5.0,3.0,30.0,35.3660951,136.6304543,86.6725633586921,20191101
8,55135.0,1056,2.0,7.0,33.0,35.3656542,136.63055370000004,49.9033816816782,20191101
9,55135.0,1107,51.0,3.0,60.0,35.3649584,136.630614,77.64931687621349,20191101
10,55135.0,1109,2.0,1.0,10.0,35.3660597,136.6303961,124.18165091679477,20191101
0,55528.0,938,6.0,1.0,30.0,35.3450736,136.6601959,1407.379155555516,20191101
1,55528.0,1008,70.0,1.0,32.0,35.3370313,136.6606144,896.0709402294661,20191101
2,55528.0,1011,3.0,1.0,2.0,35.3367072,136.6618272,115.89396585198887,20191101
3,55528.0,1032,21.0,1.0,20.0,35.3265787,136.6754678,1675.0698179199092,20191101
4,55528.0,1037,5.0,2.0,20.0,35.3285827,136.6713061,438.8939006130506,20191101
5,55528.0,1048,11.0,1.0,10.0,35.3309329,136.6678887,405.92130794484393,20191101
6,55528.0,1053,5.0,3.0,20.0,35.3336841,136.6580463,944.8571411070828,20191101
7,55528.0,1101,48.0,1.0,20.0,35.326122,136.6574702,843.4334778676557,20191101
8,55528.0,1134,33.0,1.0,15.0,35.3196617,136.6552671,746.4764012361816,20191101
0,55890.0,913,9.0,14.0,143.0,35.3605523,136.6530049,777.139425381511,20191101
1,55890.0,916,3.0,3.0,21.0,35.358391,136.6531696,241.05900789552726,20191101
2,55890.0,920,4.0,1.0,40.0,35.355834,136.6505171,372.8457063367393,20191101
0,56023.0,943,3.0,1.0,5.0,35.3191225,136.6067003,208.2359895294503,20191101
1,56023.0,945,2.0,1.0,10.0,35.3185393,136.6066818,64.94328678518389,20191101
2,56023.0,1004,59.0,28.0,310.0,35.3172048,136.6140791,688.1376933801353,20191101
3,56023.0,1008,4.0,2.0,40.0,35.3171993,136.6142528,15.789790389928335,20191101
4,56023.0,1106,98.0,111.0,1359.0,35.31325274761905,136.61624911904767,475.28078713293877,20191101
5,56023.0,1109,3.0,1.0,20.0,35.3132464,136.6169911,67.40322553555607,20191101
6,56023.0,1124,15.0,2.0,60.0,35.3133262,136.6014347,1413.1262081913128,20191101
0,56177.0,1006,48.0,2.0,25.0,35.1552137,136.6321473,1972.9494269420454,20191101
0,56231.0,908,81.0,75.0,847.0,35.3191548,136.6576463,3039.187436964483,20191101
1,56231.0,918,10.0,4.0,24.0,35.3191548,136.6576463,0.0,20191101
0,56267.0,956,13.0,6.0,60.0,35.4533267,136.5921456,12.982842123439587,20191101
1,56267.0,1000,44.0,3.0,13.0,35.4534164,136.5922371,12.982842123439587,20191101
2,56267.0,1014,14.0,5.0,50.0,35.4533267,136.5921456,12.982842123439587,20191101
3,56267.0,1023,9.0,2.0,40.0,35.460042,136.5805451,1290.4581403597092,20191101
4,56267.0,1027,4.0,1.0,5.0,35.4563164,136.575257,633.9689894415383,20191101
