,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
0,12426.0,859,5.0,2.0,120.0,35.2985554,136.6314126,613.8537100059818,20200201
1,12426.0,906,47.0,4.0,46.0,35.295445,136.6406883,911.1041826240146,20200201
2,12426.0,924,18.0,1.0,25.0,35.2974751,136.656135,1421.5041040986926,20200201
3,12426.0,930,6.0,1.0,10.0,35.2936011,136.6499318,709.6674355938471,20200201
4,12426.0,947,17.0,2.0,10.0,35.2741951,136.653617,2186.067302892751,20200201
5,12426.0,951,4.0,1.0,20.0,35.2745675,136.6512359,220.3312206045595,20200201
6,12426.0,957,6.0,6.0,60.0,35.2729825,136.6404855,992.8161922458902,20200201
7,12426.0,1000,43.0,1.0,10.0,35.2714318,136.6395228,193.5298602707159,20200201
8,12426.0,1003,3.0,3.0,50.0,35.2703645,136.6385344,148.94836523438403,20200201
9,12426.0,1020,17.0,2.0,20.0,35.2712254,136.6172327,1938.3712358177895,20200201
10,12426.0,1028,8.0,8.0,64.0,35.2735411,136.6315125,1323.1455230788715,20200201
11,12426.0,1034,6.0,1.0,20.0,35.2852496,136.6380113,1430.9418407081987,20200201
0,25852.0,932,5.0,11.0,322.0,35.3582106,136.6406939,632.4360034258752,20200201
1,25852.0,941,9.0,12.0,118.0,35.3585455,136.6429418,207.45608448838905,20200201
2,25852.0,948,7.0,1.0,20.0,35.3586104,136.6417558,107.91454894200895,20200201
3,25852.0,949,1.0,3.0,40.0,35.3585718,136.6416462,10.838082102699563,20200201
4,25852.0,950,1.0,1.0,24.0,35.3587639,136.642511,81.37197007387277,20200201
5,25852.0,959,9.0,13.0,85.0,35.34426610000001,136.60590159999998,3695.006436505103,20200201
6,25852.0,1001,42.0,7.0,113.0,35.3618274,136.6438336,3960.1014015526493,20200201
7,25852.0,1002,1.0,1.0,3.0,35.3592422,136.6399128,457.72988933380225,20200201
0,26440.0,936,30.0,1.0,30.0,35.3190665,136.6210025,3045.187469127698,20200201
1,26440.0,941,5.0,4.0,130.0,35.3166106,136.6199059,290.96951894494214,20200201
2,26440.0,950,9.0,1.0,80.0,35.3169799,136.618472,136.5796425254196,20200201
3,26440.0,956,6.0,1.0,10.0,35.3220465,136.6157553,615.6284335402717,20200201
4,26440.0,1008,52.0,1.0,20.0,35.3169225,136.6103074,755.127541973186,20200201
5,26440.0,1019,11.0,3.0,45.0,35.3239995,136.5950983,1590.2782224176033,20200201
6,26440.0,1028,9.0,1.0,2.0,35.3348152,136.610674,1857.5839775179581,20200201
7,26440.0,1034,6.0,7.0,61.0,35.335109366666664,136.61178710000002,106.25558434167229,20200201
8,26440.0,1039,5.0,1.0,6.0,35.3364207,136.6104264,191.25440226997557,20200201
9,26440.0,1044,5.0,3.0,45.0,35.3379556,136.6108223,174.60565617317158,20200201
10,26440.0,1049,5.0,1.0,10.0,35.3378852,136.6065633,386.8367388139712,20200201
11,26440.0,1059,10.0,1.0,1.0,35.3265384,136.6193137,1713.5615676979442,20200201
0,31105.0,1014,14.0,1.0,20.0,35.3895331,136.5880892,2525.312840136691,20200201
1,31105.0,1019,5.0,8.0,88.0,35.3903931,136.5844719,341.9480665860992,20200201
2,31105.0,1027,8.0,1.0,30.0,35.3926805,136.5852135,263.3757536022227,20200201
3,31105.0,1050,23.0,1.0,20.0,35.3992482,136.5926546,995.2237564409393,20200201
4,31105.0,1119,69.0,2.0,430.0,35.3559397,136.6444879,6736.204464847047,20200201
5,31105.0,1123,4.0,3.0,30.0,35.3889753,136.5783092,7043.370000356435,20200201
6,31105.0,1129,6.0,1.0,25.0,35.3905107,136.5832776,482.19669086849973,20200201
0,54548.0,946,14.0,2.0,40.0,35.4005256,136.6006456,426.6324707316595,20200201
1,54548.0,955,9.0,1.0,2.0,35.4010978,136.5982852,223.45069528901644,20200201
2,54548.0,1000,45.0,1.0,38.0,35.4075733,136.6009227,759.5356780340375,20200201
3,54548.0,1011,11.0,22.0,179.0,35.4077745,136.8499027,22590.20292158362,20200201
4,54548.0,1018,7.0,1.0,20.0,35.4179374,136.6022625,22495.65164638117,20200201
5,54548.0,1025,7.0,1.0,15.0,35.416651,136.6034299,178.10911255222766,20200201
6,54548.0,1029,4.0,1.0,10.0,35.4150246,136.6068636,360.30327451302753,20200201
7,54548.0,1036,7.0,1.0,30.0,35.4208024,136.6047006,672.4488537183171,20200201
8,54548.0,1040,4.0,1.0,104.0,35.4202283,136.6047778,64.2910909127025,20200201
9,54548.0,1044,4.0,2.0,25.0,35.4192084,136.6026784,221.72542151939462,20200201
10,54548.0,1102,58.0,1.0,126.0,35.4085245,136.5942506,1413.9009673017335,20200201
0,56177.0,1033,9.0,21.0,115.0,35.1142283,136.6409799,0.0,20200201
1,56177.0,1048,15.0,11.0,93.0,35.1127311,136.6390029,245.33235445239416,20200201
2,56177.0,1115,67.0,55.0,761.0,35.099284399999995,136.63286816666667,1597.741845181733,20200201
0,56267.0,920,8.0,1.0,20.0,35.3926847,136.6343309,793.1077491319556,20200201
1,56267.0,926,6.0,1.0,180.0,35.3911215,136.630626,378.57838201498475,20200201
2,56267.0,944,18.0,1.0,30.0,35.4029085,136.6312007,1313.1587736591036,20200201
3,56267.0,957,13.0,1.0,5.0,35.4051729,136.6144044,1544.7190267909123,20200201
4,56267.0,1005,48.0,1.0,2.0,35.4302941,136.6059789,2899.0583992471015,20200201
5,56267.0,1011,6.0,6.0,109.0,35.41208953333334,136.60845111666666,2038.8949011130806,20200201
6,56267.0,1017,6.0,1.0,20.0,35.4210544,136.6067753,1009.4783631233073,20200201
7,56267.0,1020,3.0,1.0,20.0,35.4225221,136.6069977,164.62453460830235,20200201
8,56267.0,1027,7.0,3.0,35.0,35.4262085,136.6065537,412.33991585939566,20200201
9,56267.0,1037,10.0,2.0,30.0,35.4326161,136.6013014,857.7631224663314,20200201
10,56267.0,1039,2.0,1.0,40.0,35.4323423,136.6010604,37.50762959575043,20200201
0,113370.0,929,7.0,2.0,40.0,35.3611226,136.6203943,160.1146301609436,20200201
1,113370.0,934,5.0,1.0,12.0,35.3643148,136.6220471,385.73261233962023,20200201
2,113370.0,942,8.0,2.0,42.0,35.3642684,136.6236334,144.0965845820402,20200201
3,113370.0,947,5.0,4.0,73.0,35.3618489,136.6173928,627.2939973455616,20200201
4,113370.0,953,6.0,9.0,60.0,35.3606511,136.6171904,134.59860405009468,20200201
5,113370.0,959,6.0,1.0,16.0,35.3604623,136.6175596,39.561763637965726,20200201
6,113370.0,1007,48.0,3.0,45.0,35.3609769,136.6174103,58.866620654533335,20200201
7,113370.0,1012,5.0,1.0,5.0,35.3606499,136.6164227,96.76579360747866,20200201
8,113370.0,1016,4.0,1.0,2.0,35.3633349,136.6171759,306.61438639204977,20200201
9,113370.0,1028,12.0,1.0,5.0,35.3654403,136.615567,276.1565542576277,20200201
10,113370.0,1031,3.0,1.0,15.0,35.3645,136.6139011,183.9204453541223,20200201
11,113370.0,1037,6.0,5.0,160.0,35.3625716,136.6172645,373.24246594382555,20200201
12,113370.0,1041,4.0,1.0,5.0,35.3658164,136.6148572,422.1724737575639,20200201
13,113370.0,1048,7.0,2.0,20.0,35.3662599,136.6155716,81.50551375501666,20200201
14,113370.0,1051,3.0,2.0,11.0,35.3663476,136.6166344,96.97103538326681,20200201
15,113370.0,1054,3.0,1.0,20.0,35.366479,136.616484,20.009144942664264,20200201
16,113370.0,1107,53.0,12.0,89.0,35.36619580000001,136.61783949999997,127.02322418056258,20200201
0,113388.0,934,8.0,1.0,35.0,35.4458762,136.6190109,1833.5807221132977,20200201
1,113388.0,945,11.0,1.0,5.0,35.4351587,136.625997,1350.8713832967517,20200201
2,113388.0,950,5.0,1.0,20.0,35.4355757,136.6271753,116.51764889586009,20200201
3,113388.0,956,6.0,1.0,20.0,35.4351496,136.6300586,265.78161811478236,20200201
4,113388.0,1005,49.0,2.0,224.0,35.4426314,136.6322683,856.6429269620212,20200201
5,113388.0,1016,11.0,1.0,48.0,35.4652192,136.6305653,2519.1999833227037,20200201
0,115534.0,925,1.0,11.0,110.0,35.309953,136.6411294,0.0,20200201
1,115534.0,953,28.0,110.0,723.0,35.300377,136.6450096,1122.7660563535235,20200201
0,131829.0,942,3.0,2.0,6.0,35.4110019,136.5773517,89.42570588826547,20200201
0,131970.0,923,4.0,2.0,6.0,35.3460426,136.6243259,288.25227651825605,20200201
1,131970.0,928,5.0,1.0,20.0,35.3451412,136.6228861,164.80421743842717,20200201
2,131970.0,932,4.0,1.0,80.0,35.3462417,136.6210934,203.72726401690403,20200201
3,131970.0,940,8.0,5.0,234.0,35.3450122,136.617956,316.051135263463,20200201
4,131970.0,943,3.0,1.0,8.0,35.3458683,136.6180033,95.39729327808897,20200201
5,131970.0,954,11.0,2.0,40.0,35.3455956,136.6111176,625.9625458105999,20200201
6,131970.0,1011,57.0,32.0,666.0,35.34669910000001,136.60955770000004,187.48756713103361,20200201
7,131970.0,1016,5.0,1.0,20.0,35.3448529,136.6077678,262.0147055424755,20200201
8,131970.0,1037,21.0,18.0,356.0,35.350221,136.6234272,1542.3221732131296,20200201
9,131970.0,1047,10.0,1.0,26.0,35.3473399,136.6014844,2017.9947077261934,20200201
10,131970.0,1056,9.0,1.0,4.0,35.3475471,136.5985871,264.08036244849416,20200201
11,131970.0,1114,58.0,1.0,5.0,35.3389305,136.607063,1229.7980541281079,20200201
12,131970.0,1120,6.0,1.0,1.0,35.3386505,136.6119086,441.1239895522556,20200201
13,131970.0,1127,7.0,7.0,164.0,35.3394622,136.6143473,239.17857066672852,20200201
14,131970.0,1138,11.0,1.0,2.0,35.350221,136.6234272,1454.0116882050938,20200201
15,131970.0,1140,2.0,1.0,20.0,35.3070615,136.6117913,4919.341689928008,20200201
16,131970.0,1145,5.0,1.0,10.0,35.3436768,136.6226347,4193.286238596605,20200201
17,131970.0,1146,1.0,1.0,15.0,35.3466991,136.6095577,1234.1516925944263,20200201
