,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
0,314370.0,1112,104.0,1.0,10.0,35.3850347,136.6060125,1116.3630815012739,20191201
0,513108.0,1130,12.0,26.0,349.0,35.3123246,136.6311673,1063.5918471418968,20191201
0,12426.0,849,7.0,1.0,5.0,35.2847811,136.6374571,818.2767834054542,20191202
1,12426.0,853,4.0,1.0,10.0,35.2819131,136.6353249,373.45750424494776,20191202
2,12426.0,857,4.0,1.0,20.0,35.2757956,136.633546,699.9217712515187,20191202
3,12426.0,900,43.0,2.0,810.0,35.2757956,136.633546,0.0,20191202
4,12426.0,916,16.0,10.0,200.0,35.2779993,136.6346841,266.2268216877411,20191202
5,12426.0,941,25.0,1.0,20.0,35.280728,136.6202305,1348.139973875407,20191202
6,12426.0,946,5.0,6.0,100.0,35.2828534,136.6256022,542.4565292401878,20191202
7,12426.0,955,9.0,1.0,24.0,35.2914046,136.6477911,2229.6443369523195,20191202
8,12426.0,1016,61.0,1.0,5.0,35.2703645,136.6385344,2488.6489241760446,20191202
9,12426.0,1021,5.0,2.0,15.0,35.266815,136.6386834,395.3605509998185,20191202
0,25852.0,855,6.0,2.0,320.0,35.3461399,136.6061456,986.4670394135522,20191202
0,26294.0,909,51.0,39.0,674.0,35.3324208,136.624972875,1553.3253760773591,20191202
1,26294.0,925,16.0,4.0,44.0,35.3309072,136.6215107,356.7231976933284,20191202
2,26294.0,939,14.0,17.0,369.0,35.3047269,136.6120911666667,3037.3739048715843,20191202
3,26294.0,946,7.0,2.0,40.0,35.3045237,136.612944,80.71173751335088,20191202
0,26440.0,1005,47.0,10.0,88.0,35.3307307,136.6188555,73.54221725241672,20191202
1,26440.0,1007,2.0,2.0,200.0,35.3309417,136.6182204,62.277304170021125,20191202
2,26440.0,1017,10.0,29.0,272.0,35.331004,136.6202157,181.3402605312754,20191202
0,31105.0,1031,6.0,1.0,10.0,35.3937773,136.592306,346.87421607204016,20191202
1,31105.0,1034,3.0,1.0,16.0,35.3942398,136.5911002,120.92932066791599,20191202
2,31105.0,1054,20.0,3.0,41.0,35.3929525,136.5907366,147.05117553977345,20191202
3,31105.0,1102,48.0,3.0,40.0,35.4031171,136.5904682,1131.780179583247,20191202
4,31105.0,1108,6.0,7.0,182.0,35.4044811,136.5914248,174.8974464519885,20191202
5,31105.0,1117,9.0,1.0,50.0,35.4024841,136.582458,843.4327388984183,20191202
6,31105.0,1202,85.0,1.0,10.0,35.3915594,136.5851211,1239.9094857438745,20191202
7,31105.0,1203,1.0,63.0,709.0,35.3904172,136.5844128,142.47304077308235,20191202
8,31105.0,1210,7.0,3.0,71.0,35.387883,136.5848653,285.0790655579857,20191202
9,31105.0,1213,3.0,1.0,20.0,35.3870036,136.5844111,106.21876811373467,20191202
10,31105.0,1219,6.0,1.0,20.0,35.3880424,136.5889823,430.6685341630286,20191202
11,31105.0,1223,4.0,1.0,10.0,35.3885669,136.5882217,90.40853896020334,20191202
12,31105.0,1227,4.0,1.0,20.0,35.3883083,136.5865576,153.74060998101425,20191202
13,31105.0,1231,4.0,1.0,24.0,35.3859697,136.5809576,571.0193700154491,20191202
14,31105.0,1234,3.0,2.0,48.0,35.3859697,136.5809576,0.0,20191202
0,31202.0,929,5.0,1.0,1.0,35.3444613,136.6226657,451.66514891910157,20191202
1,31202.0,934,5.0,2.0,17.0,35.344299,136.6211745,136.60424312941583,20191202
2,31202.0,942,8.0,1.0,1.0,35.3458027,136.6195956,220.39440838944964,20191202
3,31202.0,944,2.0,6.0,120.0,35.3450715,136.619689,81.83742619925353,20191202
4,31202.0,949,5.0,1.0,1.0,35.3453529,136.61735,214.68181040102874,20191202
5,31202.0,957,8.0,7.0,138.0,35.346891,136.6131554,417.58693461800067,20191202
6,31202.0,1001,44.0,2.0,28.0,35.3471798,136.6111591,184.09135342217635,20191202
7,31202.0,1008,7.0,4.0,37.0,35.3466991,136.6095577,154.93986598180987,20191202
8,31202.0,1012,4.0,1.0,26.0,35.3457513,136.6108742,159.44113824308644,20191202
9,31202.0,1014,2.0,4.0,38.0,35.3454437,136.6108994,34.31832687256027,20191202
10,31202.0,1019,5.0,2.0,12.0,35.3441608,136.608256,279.2978597741059,20191202
11,31202.0,1022,3.0,1.0,1.0,35.3392425,136.6075988,550.7454119419328,20191202
12,31202.0,1025,3.0,3.0,45.0,35.3411689,136.6078143,215.336878319086,20191202
13,31202.0,1040,15.0,2.0,20.0,35.3383087,136.6039156,476.144710913446,20191202
14,31202.0,1048,8.0,1.0,5.0,35.3400898,136.6010748,325.35918309171956,20191202
15,31202.0,1102,54.0,1.0,1.0,35.3473259,136.601956,809.4833434234572,20191202
16,31202.0,1107,5.0,1.0,20.0,35.3462911,136.6044707,255.74525932652008,20191202
17,31202.0,1115,8.0,3.0,18.0,35.3472758,136.6067783,236.47003664263863,20191202
18,31202.0,1124,9.0,1.0,10.0,35.3477108,136.6061508,74.77410304010309,20191202
0,54056.0,943,1.0,1.0,1.0,35.3592668,136.5855562,93.40703565767194,20191202
1,54056.0,946,3.0,1.0,15.0,35.359684,136.5824015,290.141182805412,20191202
2,54056.0,1004,58.0,15.0,542.0,35.362437420000006,136.57838292,476.48913663088655,20191202
3,54056.0,1011,7.0,1.0,10.0,35.377437,136.5626777,2195.5485555203686,20191202
4,54056.0,1016,5.0,4.0,110.0,35.3596894,136.5850695,2834.560328842101,20191202
5,54056.0,1022,6.0,1.0,2.0,35.3598837,136.5878581,254.08491722034205,20191202
6,54056.0,1025,3.0,2.0,60.0,35.3605201,136.5873393,85.07145965445638,20191202
7,54056.0,1031,6.0,1.0,5.0,35.361829,136.5863886,169.34954838916104,20191202
8,54056.0,1053,22.0,4.0,614.0,35.3567139,136.5830466,645.1997011360403,20191202
9,54056.0,1112,59.0,1.0,2.0,35.3680413,136.5808441,1276.7145436919527,20191202
