,driverID,endtime,dtime[min],number,weight,latitude,longitude,distance[m],date
0,12426.0,924,11.0,1.0,5.0,35.2847811,136.6374571,2958.5527021096,20200106
0,26294.0,944,11.0,6.0,110.0,35.312324600000004,136.6311673,1288.447996725068,20200106
0,31202.0,943,14.0,1.0,20.0,35.3466991,136.6095577,1230.4420527857187,20200106
1,31202.0,948,5.0,6.0,134.0,35.345786,136.6064212,302.3900537133944,20200106
0,54056.0,937,7.0,4.0,120.0,35.3670201,136.581,944.1762846491932,20200106
1,54056.0,940,3.0,2.0,6.0,35.3669834,136.5809238,8.033690063060838,20200106
2,54056.0,943,3.0,3.0,39.0,35.3700354,136.5798902,352.46450958964476,20200106
3,54056.0,1010,67.0,2.0,7.0,35.3987822,136.59556425,3502.014309204465,20200106
4,54056.0,1014,4.0,4.0,8.0,35.3619042,136.5869361,4179.264481194934,20200106
0,54548.0,1020,64.0,1.0,2.0,35.4048328,136.5983611,1107.955841572783,20200106
1,54548.0,1030,10.0,2.0,40.0,35.4176447,136.5943962,1470.8799306338058,20200106
2,54548.0,1037,7.0,1.0,2.0,35.4355359,136.5899944,2031.2695981175439,20200106
0,55135.0,951,4.0,1.0,5.0,35.3759043,136.6511622,250.61727378971165,20200106
0,55528.0,934,19.0,10.0,110.0,35.3184541,136.6567341,2097.817134474907,20200106
0,56231.0,945,10.0,3.0,9.0,35.318329,136.6571517,102.31788452734276,20200106
0,56267.0,944,13.0,9.0,188.0,35.4550676,136.5889911,347.02144608321805,20200106
1,56267.0,952,8.0,1.0,3.0,35.4692291,136.5501363,3859.581745134576,20200106
0,113370.0,957,10.0,1.0,2.0,35.1554124,136.6341009,2004.467705341702,20200106
0,113388.0,953,6.0,1.0,2.0,35.4415467,136.6202975,652.4063546906834,20200106
1,113388.0,956,3.0,1.0,20.0,35.434022,136.6201407,837.7664896424552,20200106
2,113388.0,1000,44.0,1.0,20.0,35.4335816,136.6177248,224.5431284797341,20200106
3,113388.0,1005,5.0,5.0,106.0,35.4351587,136.625997,770.5622659786247,20200106
4,113388.0,1010,5.0,1.0,8.0,35.4426002,136.6273148,836.9616584335682,20200106
5,113388.0,1023,13.0,1.0,10.0,35.4628624,136.6098839,2754.278005553078,20200106
0,114875.0,922,17.0,3.0,20.0,35.354579,136.6326892,702.0160056802052,20200106
0,131970.0,1038,1.0,49.0,490.0,35.3297491,136.6219622,0.0,20200106
0,132060.0,1006,50.0,1.0,5.0,35.4604415,136.6241924,2556.8576237983225,20200106
0,152412.0,927,11.0,1.0,2.0,35.3309072,136.6215107,1845.9650784764767,20200106
1,152412.0,944,17.0,1.0,2.0,35.3047641,136.6115925,3046.4864131392724,20200106
0,214532.0,941,13.0,27.0,1125.0,35.3756921,136.5875012,481.5372466377623,20200106
1,214532.0,953,12.0,3.0,2.0,35.3743213,136.5833497,406.5473769937602,20200106
0,214898.0,930,5.0,1.0,6.0,35.3558096,136.6104588,537.5927691959931,20200106
1,214898.0,935,5.0,1.0,180.0,35.3561529,136.6074763,273.4620725355067,20200106
2,214898.0,938,3.0,1.0,2.0,35.3556552,136.6100495,240.09856594292648,20200106
0,222911.0,1022,10.0,1.0,2.0,35.1322358,136.6318704,1659.500780339492,20200106
0,232125.0,932,5.0,1.0,5.0,35.3745866,136.6167859,392.3421435320896,20200106
1,232125.0,941,9.0,1.0,1.0,35.3691412,136.6245338,928.4747416112104,20200106
0,312991.0,1011,10.0,1.0,11.0,35.3023832,136.6107797,907.9880595256751,20200106
0,315556.0,953,27.0,1.0,10.0,35.3618274,136.6438336,2042.6956765928921,20200106
0,316632.0,903,46.0,5.0,147.0,35.3476894,136.648336,95.30834040548412,20200106
1,316632.0,908,5.0,1.0,5.0,35.3441671,136.6414904,734.9209815885044,20200106
2,316632.0,914,6.0,8.0,240.0,35.3520196,136.6449548,929.0116338000075,20200106
0,331218.0,951,16.0,1.0,20.0,35.3780812,136.6211042,1076.5572917847796,20200106
1,331218.0,956,5.0,1.0,5.0,35.3735395,136.6236738,556.7846669768137,20200106
0,340398.0,953,18.0,2.0,6.0,35.3670406,136.6047238,742.5701973189131,20200106
0,414273.0,959,3.0,1.0,4.0,35.3241271,136.5987958,413.28195739084043,20200106
1,414273.0,1008,49.0,1.0,61.0,35.3169947,136.6133955,1545.5975499960405,20200106
2,414273.0,1011,3.0,1.0,3.0,35.3180673,136.6141779,138.9504011652759,20200106
3,414273.0,1016,5.0,1.0,2.0,35.3176971,136.6172364,280.8494354670387,20200106
0,513328.0,933,12.0,2.0,10.0,35.1075064,136.6350935,916.307580608939,20200106
0,521028.0,911,3.0,1.0,20.0,35.3536082,136.6071337,180.4647940740659,20200106
1,521028.0,915,4.0,3.0,60.0,35.3590832,136.6053079,631.6136974917634,20200106
0,521619.0,1145,213.0,1.0,5.0,35.3572512,136.5998408,440.2169991780421,20200106
0,532846.0,1040,1.0,2.0,20.0,35.1731701,136.6274217,19.603477394617332,20200106
0,533201.0,1048,31.0,1.0,5.0,35.37549,136.5551498,1587.9705956669911,20200106
0,550730.0,937,10.0,9.0,91.0,35.462917,136.637818,615.327709682002,20200106
1,550730.0,953,16.0,2.0,80.0,35.4697281,136.6233152,1517.836777447687,20200106
0,611955.0,935,5.0,2.0,3.0,35.3473691,136.6240608,322.6423732223872,20200106
1,611955.0,937,2.0,1.0,10.0,35.3468779,136.6250752,107.11463536933218,20200106
2,611955.0,940,3.0,1.0,5.0,35.3474812,136.6240789,112.66729336632055,20200106
3,611955.0,952,12.0,1.0,5.0,35.3680318,136.6372904,2583.047181346359,20200106
4,611955.0,1002,50.0,4.0,160.0,35.3511946,136.6228247,2288.6040339157003,20200106
5,611955.0,1009,7.0,3.0,41.0,35.3531551,136.6235463,227.86385145655348,20200106
0,612303.0,1002,56.0,2.0,32.0,35.3341306,136.6200939,2426.115826100293,20200106
1,612303.0,1012,10.0,1.0,30.0,35.3338422,136.6228085,248.6049704618482,20200106
2,612303.0,1026,14.0,2.0,40.0,35.3371859,136.6232276,374.1597138264144,20200106
3,612303.0,1031,5.0,2.0,19.0,35.3366982,136.6221977,108.14119152444172,20200106
4,612303.0,1037,6.0,1.0,5.0,35.3380752,136.6204329,221.76709379792055,20200106
5,612303.0,1043,6.0,2.0,45.0,35.3415414,136.6192749,399.9276301420463,20200106
0,612752.0,952,4.0,1.0,25.0,35.3112536,136.6155433,249.3902973579837,20200106
1,612752.0,955,3.0,1.0,32.0,35.3115965,136.6143345,116.25190365698435,20200106
2,612752.0,1013,58.0,1.0,16.0,35.3065016,136.615252,573.2531341351114,20200106
3,612752.0,1021,8.0,1.0,2.0,35.302327,136.6119933,551.0000809201517,20200106
4,612752.0,1026,5.0,2.0,40.0,35.3024214,136.6130183,93.71164283349363,20200106
5,612752.0,1044,18.0,1.0,60.0,35.3130885,136.6177237,1262.049569240483,20200106
6,612752.0,1047,3.0,1.0,2.0,35.3131217,136.6176899,4.805010941848666,20200106
0,612825.0,922,12.0,1.0,18.0,35.2979268,136.6308055,976.3999907220546,20200106
1,612825.0,940,18.0,6.0,160.0,35.2994216,136.6561004,2304.1468165233055,20200106
0,612842.0,1001,52.0,4.0,50.0,35.3361152,136.6126589,1525.1427093822513,20200106
0,612926.0,1030,10.0,1.0,600.0,35.4441336,136.5998836,857.409320597307,20200106
0,621634.0,930,6.0,2.0,16.0,35.4291945,136.5852496,1170.0561304778278,20200106
1,621634.0,941,11.0,1.0,10.0,35.427422,136.5607241,2233.3858166954906,20200106
2,621634.0,946,5.0,1.0,9.0,35.4303941,136.5626375,373.6123311007774,20200106
3,621634.0,953,7.0,1.0,20.0,35.4348891,136.5792085,1584.1406772958396,20200106
4,621634.0,956,3.0,1.0,20.0,35.4353416,136.5783752,90.82809583742396,20200106
5,621634.0,1001,45.0,1.0,5.0,35.3443163,136.6328741,11275.49152041484,20200106
6,621634.0,1015,14.0,1.0,20.0,35.4240588,136.5789751,10135.497055961554,20200106
0,622118.0,923,2.0,1.0,2.0,35.4471854,136.5692976,65.73076496984159,20200106
1,622118.0,930,7.0,6.0,155.0,35.443808399999995,136.5796689,1012.9000761280727,20200106
2,622118.0,936,6.0,1.0,2.0,35.4500452,136.5566769,2197.6210884099614,20200106
0,651384.0,1006,5.0,1.0,20.0,35.280694,136.6352761,27.022264230665833,20200106
0,712580.0,1001,52.0,3.0,35.0,35.3786123,136.5987106,1074.1974203985974,20200106
1,712580.0,1007,6.0,1.0,5.0,35.384173,136.6063085,926.6674011544374,20200106
0,714414.0,955,22.0,25.0,136.0,35.331004,136.6202157,1673.554035682043,20200106
1,714414.0,959,4.0,2.0,45.0,35.3305336,136.6196284,74.74552773755632,20200106
2,714414.0,1001,42.0,1.0,1.0,35.3307307,136.6188555,73.54221725241672,20200106
3,714414.0,1014,13.0,11.0,330.0,35.3450152,136.6295927,1865.276848759797,20200106
0,752039.0,940,14.0,1.0,2.0,35.356645,136.5662562,1491.3110302332423,20200106
1,752039.0,958,18.0,1.0,2.0,35.3692284,136.5654247,1402.8100523349226,20200106
0,861446.0,931,16.0,4.0,28.0,35.3132464,136.6169911,3091.7099643807273,20200106
0,861461.0,956,10.0,10.0,100.0,35.4768306,136.6513987,11650.846155225245,20200106
1,861461.0,1020,64.0,20.0,400.0,35.48858210000001,136.65339969999997,1320.6859263224082,20200106
2,861461.0,1053,33.0,7.0,150.0,35.4843761,136.611389,3836.617941345194,20200106
3,861461.0,1720,667.0,1.0,48.0,35.4816572,136.6542711,3898.860014084614,20200106
0,861633.0,955,30.0,1.0,3.0,35.3641332,136.6157174,1865.7429916579918,20200106
1,861633.0,1010,55.0,1.0,5.0,35.3658164,136.6148572,202.99354102659782,20200106
2,861633.0,1024,14.0,8.0,160.0,35.3657504,136.6165536,154.17114585585375,20200106
0,12426.0,916,60.0,5.0,65.0,35.2784027,136.6458028,1743.182407110698,20200107
1,12426.0,921,5.0,1.0,4.0,35.2839507,136.6365344,1044.4200694770182,20200107
2,12426.0,924,3.0,1.0,9.0,35.2855538,136.6358491,189.00928411318398,20200107
3,12426.0,927,3.0,2.0,4.0,35.2847811,136.6374571,169.55523154093052,20200107
4,12426.0,930,3.0,1.0,10.0,35.2852326,136.6380513,73.76664684299672,20200107
5,12426.0,942,12.0,2.0,44.0,35.2898554,136.6307708,838.1345002589144,20200107
6,12426.0,951,9.0,3.0,72.0,35.2938625,136.6259407,625.7655393069192,20200107
7,12426.0,957,6.0,1.0,10.0,35.2823544,136.6263084,1281.511452226628,20200107
8,12426.0,1000,43.0,2.0,25.0,35.2804573,136.6273688,232.12999705930096,20200107
9,12426.0,1008,8.0,2.0,24.0,35.2783969,136.6218851,548.5816906585992,20200107
10,12426.0,1015,7.0,1.0,433.0,35.2674581,136.6179421,1269.33507282247,20200107
11,12426.0,1026,11.0,1.0,2.0,35.2725681,136.6295627,1199.5942771899079,20200107
12,12426.0,1030,4.0,3.0,30.0,35.2735411,136.6315125,207.68372431558188,20200107
13,12426.0,1040,10.0,5.0,139.0,35.27217486666667,136.63687159999998,510.24204120966607,20200107
14,12426.0,1042,2.0,20.0,500.0,35.266815,136.6386834,618.9634783504177,20200107
0,25852.0,947,26.0,1.0,80.0,35.4388056,136.6024921,946.6623396741343,20200107
1,25852.0,952,5.0,1.0,74.0,35.4404241,136.6016311,196.36506018194277,20200107
0,26440.0,907,3.0,1.0,10.0,35.3320466,136.6180321,222.225196666547,20200107
1,26440.0,909,2.0,1.0,1.0,35.3312276,136.6201679,214.324141416318,20200107
0,26511.0,1038,38.0,1.0,1.0,35.3326249,136.6005294,2867.4942484941425,20200107
1,26511.0,1042,4.0,1.0,24.0,35.335156,136.5952967,552.4547467109874,20200107
2,26511.0,1053,11.0,1.0,3.0,35.3240152,136.6040378,1472.506133067103,20200107
3,26511.0,1059,6.0,1.0,3.0,35.3235237,136.6188834,1349.4660976183022,20200107
4,26511.0,1103,44.0,1.0,8.0,35.3256584,136.6197599,250.61354334598417,20200107
5,26511.0,1106,3.0,2.0,2.0,35.3253611,136.6200664,43.24603841387234,20200107
6,26511.0,1111,5.0,1.0,4.0,35.3276035,136.6227369,348.0483398916177,20200107
