,n_point,method,time[sec],TSP[m]
0,21,tsp-solver,1.04903,13172
1,1,Pulp,0.32134,0
2,1,Pulp,0.33432,0
3,56,tsp-solver,8.66042,16863
4,19,tsp-solver,0.86099,11438
5,24,tsp-solver,1.51259,15828
6,1,Pulp,0.24094,0
7,76,tsp-solver,15.20568,18933
8,1,Pulp,0.46878,0
9,1,Pulp,0.3872,0
10,32,tsp-solver,2.64548,20712
11,15,tsp-solver,0.43056,13810
12,17,tsp-solver,0.65568,13439
13,71,tsp-solver,13.8518,18108
14,1,Pulp,0.42447,0
15,26,tsp-solver,1.8477,15292
16,27,tsp-solver,1.94214,24833
17,15,tsp-solver,0.49636,11295
18,7,Pulp,1.12985,28763
19,22,tsp-solver,0.72276,16363
20,1,Pulp,0.39609,0
Sum,435,,53.58418,238849
