,n_point,method,time[sec],TSP[m]
0,21,tsp-solver,1.18468,14764
1,1,Pulp,0.59887,0
2,1,Pulp,0.58258,0
3,67,tsp-solver,12.91109,17179
4,27,tsp-solver,1.53976,19805
5,25,tsp-solver,1.75489,17920
6,1,Pulp,0.34525,0
7,1,Pulp,0.50402,0
8,15,tsp-solver,0.58264,13810
9,18,tsp-solver,0.88505,14263
10,1,Pulp,0.5413,0
11,14,Pulp,25.36606,8653
12,35,tsp-solver,3.9804,22913
13,1,Pulp,0.61594,0
14,67,tsp-solver,13.69252,15982
15,8,Pulp,5.95321,19619
16,23,tsp-solver,1.68989,10840
17,27,tsp-solver,2.49041,15651
18,55,tsp-solver,9.4395,15430
19,1,Pulp,0.51027,0
20,1,Pulp,0.50256,0
21,6,Pulp,1.35904,17432
22,19,tsp-solver,0.80302,11211
Sum,435,,87.83295000000001,235472
