,n_point,method,time[sec],TSP[m]
0,18,tsp-solver,0.14342,12425
1,1,Pulp,0.06908,0
2,1,Pulp,0.05345,0
3,63,tsp-solver,1.95569,13960
4,19,tsp-solver,0.1645,11582
5,17,Pulp,7.78359,9267
6,1,Pulp,0.03815,0
7,35,tsp-solver,0.55585,12307
8,17,Pulp,19.87367,11278
9,1,Pulp,0.03922,0
10,14,tsp-solver,0.07794,10818
11,62,tsp-solver,2.27681,15288
12,1,Pulp,0.05259,0
13,10,Pulp,1.25344,9161
14,1,Pulp,0.04745,0
15,19,tsp-solver,0.16349,11211
16,6,Pulp,0.19805,17432
17,25,Pulp,19.24046,12383
18,8,Pulp,1.00279,8395
19,1,Pulp,0.04849,0
20,14,Pulp,3.45893,8653
21,7,Pulp,0.37122,4234
22,1,Pulp,0.042,0
23,18,Pulp,10.71131,12903
24,31,tsp-solver,0.35519,8796
25,15,Pulp,17.97963,8311
26,18,tsp-solver,0.18583,14789
27,1,Pulp,0.03953,0
28,10,Pulp,5.66415,4500
Sum,435,,93.84591999999999,217693
