,n_point,method,time[sec],TSP[m]
0,24,tsp-solver,0.98795,15451
1,1,Pulp,0.1939,0
2,1,Pulp,0.19447,0
3,35,tsp-solver,2.21021,23645
4,20,tsp-solver,0.79034,36797
5,62,tsp-solver,6.39778,18509
6,2,Pulp,0.2296,23746
7,72,tsp-solver,9.0336,21720
8,1,Pulp,0.2399,0
9,14,tsp-solver,0.3047,10818
10,1,Pulp,0.22179,0
11,68,tsp-solver,7.97693,18149
12,24,tsp-solver,0.97243,19199
13,27,tsp-solver,1.78789,18701
14,35,tsp-solver,3.09015,22913
15,1,Pulp,0.23328,0
16,26,tsp-solver,1.32213,24816
17,21,tsp-solver,0.84556,19110
Sum,435,,37.03261,273574
