,n_point,method,time[sec],TSP[m]
0,41,tsp-solver,2.55969,32004
1,1,Pulp,0.17707,0
2,2,Pulp,0.17993,36916
3,24,tsp-solver,0.79889,16561
4,18,Pulp,31.3619,25448
5,71,tsp-solver,7.62858,18108
6,2,Pulp,0.18831,23746
7,1,Pulp,0.20641,0
8,32,tsp-solver,1.85791,16847
9,17,tsp-solver,0.46759,13439
10,15,tsp-solver,0.28376,13810
11,1,Pulp,0.17475,0
12,32,tsp-solver,1.7062,20712
13,57,tsp-solver,4.42925,18881
14,77,tsp-solver,9.65133,21366
15,23,tsp-solver,0.79678,30385
16,21,tsp-solver,0.64053,14151
Sum,435,,63.10887999999999,302374
