,n_point,method,time[sec],TSP[m]
0,7,Pulp,8.94601,4234
1,10,tsp-solver,0.49179,4748
2,1,Pulp,1.43633,0
3,1,Pulp,2.20467,0
4,4,Pulp,2.63738,4161
5,1,Pulp,1.61904,0
6,29,tsp-solver,7.23646,8707
7,10,Pulp,18.15263,8658
8,15,Pulp,57.37863,6708
9,18,tsp-solver,2.7832,14789
10,18,tsp-solver,2.6541,5437
11,1,Pulp,1.81195,0
12,1,Pulp,1.62496,0
13,1,Pulp,1.67186,0
14,17,tsp-solver,2.23614,10099
15,18,tsp-solver,2.90703,10287
16,46,tsp-solver,17.05074,7328
17,1,Pulp,1.89654,0
18,10,Pulp,20.62059,9161
19,13,tsp-solver,1.2126,6168
20,1,Pulp,1.45385,0
21,15,tsp-solver,1.56962,8992
22,12,Pulp,10.20625,4579
23,1,Pulp,1.86428,0
24,35,tsp-solver,9.86458,6750
25,17,tsp-solver,2.20247,9385
26,7,Pulp,13.3897,5531
27,1,Pulp,1.94893,0
28,23,tsp-solver,4.26746,7293
29,11,Pulp,27.72631,6029
30,3,Pulp,2.11159,6367
31,9,Pulp,19.96614,6312
32,9,Pulp,29.11251,7049
33,20,tsp-solver,3.29801,7455
34,5,Pulp,3.39133,5155
35,15,tsp-solver,1.7917,8829
36,16,tsp-solver,2.27204,4352
37,13,tsp-solver,0.95555,8221
Sum,435,,293.96497,202784
