,n_point,method,time[sec],TSP[m]
0,14,tsp-solver,0.33045,10818
1,1,Pulp,0.23934,0
2,40,tsp-solver,3.47346,20706
3,1,Pulp,0.27735,0
4,27,tsp-solver,1.65182,19805
5,18,tsp-solver,0.61105,14789
6,19,tsp-solver,0.74019,11211
7,51,tsp-solver,6.23496,13505
8,78,tsp-solver,14.46054,22360
9,2,Pulp,0.26441,23746
10,1,Pulp,0.28304,0
11,18,Pulp,50.13544,9899
12,35,tsp-solver,3.02298,22913
13,69,tsp-solver,11.84008,17979
14,21,tsp-solver,0.98007,14064
15,8,Pulp,4.5079,19619
16,1,Pulp,0.3961,0
17,23,tsp-solver,1.20174,19232
18,1,Pulp,0.40126,0
19,7,Pulp,0.88723,28763
Sum,435,,101.93941000000001,269409
