,n_point,method,time[sec],TSP[m]
0,23,tsp-solver,3.10979,10996
1,1,Pulp,0.86814,0
2,1,Pulp,1.01391,0
3,13,Pulp,36.43712,8833
4,9,Pulp,6.58932,7255
5,14,Pulp,45.22532,8653
6,17,tsp-solver,1.44027,13439
7,20,tsp-solver,2.1171,7455
8,1,Pulp,0.90556,0
9,14,tsp-solver,0.93463,10818
10,1,Pulp,0.96731,0
11,1,Pulp,0.97352,0
12,24,tsp-solver,3.33165,9801
13,7,Pulp,6.03132,4234
14,1,Pulp,1.00842,0
15,17,tsp-solver,1.64125,7310
16,51,tsp-solver,18.86443,12499
17,8,Pulp,12.37956,4752
18,12,Pulp,7.30652,4579
19,18,tsp-solver,1.921,10588
20,30,tsp-solver,5.90404,9938
21,1,Pulp,1.08007,0
22,1,Pulp,1.03348,0
23,17,tsp-solver,1.68763,11371
24,5,Pulp,2.22479,10273
25,36,tsp-solver,7.84797,9033
26,1,Pulp,1.0374,0
28,18,tsp-solver,2.00029,10287
29,5,Pulp,1.66409,5155
30,6,Pulp,2.44837,3265
31,10,Pulp,15.66445,9161
32,8,Pulp,7.20823,5161
33,33,tsp-solver,7.06278,8800
34,10,Pulp,8.13201,7951
Sum,434,,218.06174,211607
