,n_point,method,time[sec],TSP[m]
0,50,tsp-solver,6.92321,13487
1,1,Pulp,0.3107,0
2,1,Pulp,0.2868,0
3,16,tsp-solver,0.71101,9918
4,14,tsp-solver,0.67096,10818
5,26,tsp-solver,2.31442,11205
6,1,Pulp,0.34313,0
7,10,Pulp,7.72616,8969
8,23,tsp-solver,1.69429,11433
9,17,tsp-solver,0.88899,13439
10,1,Pulp,0.32187,0
11,63,tsp-solver,14.92346,12782
12,18,tsp-solver,1.06052,10287
13,1,Pulp,0.34719,0
14,7,Pulp,4.83656,5531
15,1,Pulp,0.37342,0
16,14,tsp-solver,0.61109,7977
17,17,Pulp,60.50111,11038
18,1,Pulp,0.32896,0
19,1,Pulp,0.34649,0
20,1,Pulp,0.37211,0
21,17,tsp-solver,1.02603,12616
22,7,Pulp,2.10985,7232
23,7,Pulp,3.63236,4234
24,31,tsp-solver,4.05395,8097
25,9,Pulp,7.04756,13149
26,1,Pulp,0.38429,0
27,11,tsp-solver,0.42046,8086
28,18,tsp-solver,1.19641,10588
29,14,Pulp,31.6579,8653
30,13,Pulp,25.87819,8310
31,23,tsp-solver,2.06555,8452
Sum,435,,185.36499999999998,216301
