,n_point,method,time[sec],TSP[m]
0,24,tsp-solver,1.10157,11972
1,1,Pulp,0.36884,0
2,1,Pulp,0.53584,0
3,20,tsp-solver,1.37342,12923
4,15,tsp-solver,0.62327,11295
5,52,tsp-solver,7.54259,14694
6,1,Pulp,0.49589,0
7,31,tsp-solver,3.56556,20936
8,19,tsp-solver,1.13686,11211
9,1,Pulp,0.56786,0
10,1,Pulp,0.58231,0
11,49,tsp-solver,7.40163,11791
12,20,tsp-solver,1.20489,16822
13,7,Pulp,3.70463,16816
14,19,tsp-solver,0.91473,13997
15,1,Pulp,0.70267,0
16,14,tsp-solver,0.52921,10818
17,19,tsp-solver,1.08252,12884
18,1,Pulp,0.65011,0
19,32,tsp-solver,3.70939,14700
20,19,tsp-solver,1.05952,16411
21,7,Pulp,1.3643,28763
22,13,Pulp,4.69308,7213
23,68,tsp-solver,16.7435,18149
Sum,435,,61.65419,251395
