,n_point,method,time[sec],TSP[m]
0,27,tsp-solver,2.68395,18456
1,1,Pulp,0.68356,0
2,14,Pulp,17.3289,7807
3,1,Pulp,0.445,0
4,31,tsp-solver,3.32101,8796
5,63,tsp-solver,14.67847,13960
6,1,Pulp,0.66316,0
7,1,Pulp,0.77355,0
8,1,Pulp,0.8007,0
9,25,tsp-solver,1.85433,23477
10,34,tsp-solver,3.9342,22682
11,14,Pulp,28.39672,8653
12,26,tsp-solver,2.33043,21048
13,1,Pulp,0.88165,0
14,7,Pulp,3.7912,4234
15,63,tsp-solver,14.67174,15800
16,14,tsp-solver,0.54659,10818
17,4,Pulp,1.02439,14418
18,19,tsp-solver,1.24875,11211
19,1,Pulp,0.78563,0
20,35,tsp-solver,4.13267,12307
21,8,Pulp,5.04748,6914
22,18,tsp-solver,1.01743,12969
23,18,tsp-solver,1.00924,12425
24,1,Pulp,1.03266,0
25,7,Pulp,5.66301,5531
Sum,435,,118.74641999999999,231506
