,n_point,method,time[sec],TSP[m]
0,1,Pulp,0.14473,0
1,64,tsp-solver,7.62425,16974
2,1,Pulp,0.10958,0
3,1,Pulp,0.13958,0
4,14,Pulp,7.17921,7807
5,17,Pulp,31.84911,9267
6,14,Pulp,12.3569,8653
7,57,tsp-solver,5.42948,14143
8,14,tsp-solver,0.36005,10818
9,19,tsp-solver,0.74366,13997
10,10,Pulp,5.14407,9161
11,1,Pulp,0.16201,0
12,1,Pulp,0.18269,0
13,25,tsp-solver,1.32743,11406
14,1,Pulp,0.17308,0
15,17,tsp-solver,0.6734,7310
16,1,Pulp,0.18851,0
17,8,Pulp,3.13108,6914
18,7,Pulp,2.88307,5531
19,24,Pulp,50.78566,11040
20,18,tsp-solver,0.80351,14789
21,17,Pulp,36.61951,11038
22,19,tsp-solver,0.81262,11211
23,7,Pulp,2.28911,4234
24,1,Pulp,0.28344,0
25,45,tsp-solver,5.31655,10389
26,1,Pulp,0.24698,0
27,15,Pulp,33.30026,9159
28,3,Pulp,0.2763,6367
29,11,Pulp,6.08119,9391
30,1,Pulp,0.25135,0
Sum,435,,216.86837000000003,209599
