,n_point,method,time[sec],TSP[m]
0,23,tsp-solver,0.07517,15349
1,1,Pulp,0.00737,0
2,16,tsp-solver,0.03674,9918
3,1,Pulp,0.00712,0
4,68,tsp-solver,0.66456,18149
5,1,Pulp,0.00691,0
6,14,tsp-solver,0.04008,10818
7,1,Pulp,0.00762,0
8,18,Pulp,41.72279,12202
9,20,Pulp,1.69514,14243
10,64,tsp-solver,0.62314,16280
11,14,Pulp,1.41191,8653
12,17,tsp-solver,0.04702,13439
13,1,Pulp,0.0092,0
14,58,tsp-solver,0.80597,15632
15,1,Pulp,0.01154,0
16,19,Pulp,6.50555,11102
17,25,Pulp,13.09927,12383
18,7,Pulp,0.3669,5531
19,7,Pulp,0.22779,19131
20,7,Pulp,0.23915,4234
21,19,tsp-solver,0.10932,11211
22,12,Pulp,3.81044,7701
23,15,Pulp,35.40121,11824
24,1,Pulp,0.01038,0
25,1,Pulp,0.00975,0
26,4,Pulp,0.02253,14418
Sum,435,,106.97457,232218
