,n_point,method,time[sec],TSP[m]
0,14,tsp-solver,0.91708,10818
1,1,Pulp,0.53383,0
2,15,tsp-solver,1.05994,9290
3,1,Pulp,0.57845,0
4,14,Pulp,18.45358,7807
5,39,tsp-solver,6.47982,10596
6,1,Pulp,0.51449,0
7,17,tsp-solver,1.16755,9385
8,1,Pulp,0.49694,0
9,1,Pulp,0.43997,0
10,16,Pulp,42.0408,8822
11,19,tsp-solver,1.61859,11211
12,1,Pulp,0.51382,0
13,1,Pulp,0.49779,0
14,14,tsp-solver,0.74762,10795
15,54,tsp-solver,13.63596,15355
16,8,Pulp,5.77537,6914
17,18,tsp-solver,1.27812,8904
18,7,Pulp,3.93389,4234
19,7,Pulp,5.26193,5531
20,19,tsp-solver,1.40689,14691
21,36,tsp-solver,5.00576,8278
22,14,Pulp,33.57152,8653
23,53,tsp-solver,10.97164,9659
24,18,tsp-solver,1.23157,14789
25,1,Pulp,0.53538,0
26,3,Pulp,0.71013,6367
27,11,tsp-solver,0.43224,8086
28,15,Pulp,30.54871,6708
29,1,Pulp,0.55235,0
30,1,Pulp,0.62009,0
31,9,Pulp,5.28316,7017
32,5,Pulp,1.04489,5155
Sum,435,,197.85987,209065
