,n_point,method,time[sec],TSP[m]
0,47,tsp-solver,1.18446,12634
1,1,Pulp,0.07335,0
2,1,Pulp,0.05439,0
3,14,Pulp,2.15356,7807
4,18,Pulp,12.57815,12903
5,1,Pulp,0.0797,0
6,26,tsp-solver,0.34854,11205
7,1,Pulp,0.07346,0
8,16,Pulp,17.20412,10881
9,62,tsp-solver,2.47582,12058
10,18,tsp-solver,0.21967,12425
11,1,Pulp,0.05843,0
12,10,Pulp,1.4731,9161
13,1,Pulp,0.07123,0
14,17,tsp-solver,0.20166,13439
15,14,tsp-solver,0.1189,10818
16,14,Pulp,5.05816,8653
17,2,Pulp,0.07813,10278
18,7,Pulp,0.8714,5531
19,1,Pulp,0.07395,0
20,25,tsp-solver,0.389,13462
21,10,Pulp,1.54816,11020
22,1,Pulp,0.04914,0
23,7,Pulp,0.65205,4234
24,24,Pulp,26.23055,11033
25,19,tsp-solver,0.2513,11211
26,18,Pulp,18.12234,10471
27,26,tsp-solver,0.43585,9357
28,32,tsp-solver,0.76319,7410
29,1,Pulp,0.0807,0
Sum,435,,92.97246,215991
