,n_point,method,time[sec],TSP[m]
0,9,Pulp,6.01445,5562
1,1,Pulp,0.62149,0
2,1,Pulp,0.60561,0
3,7,Pulp,3.93132,4234
4,9,Pulp,5.51932,7017
5,17,tsp-solver,1.22426,13439
6,1,Pulp,0.65436,0
7,30,tsp-solver,3.95016,7398
8,17,tsp-solver,1.39746,11371
9,7,Pulp,6.97256,5531
10,1,Pulp,0.72086,0
11,14,Pulp,35.89384,8653
12,14,tsp-solver,0.6597,10818
13,10,Pulp,11.67796,11020
14,1,Pulp,0.65753,0
15,1,Pulp,0.64096,0
16,13,Pulp,31.81346,8833
17,6,Pulp,1.50784,6810
18,23,tsp-solver,2.61195,10014
19,29,tsp-solver,4.25646,7762
20,18,tsp-solver,1.56871,10588
21,1,Pulp,0.61015,0
22,12,tsp-solver,0.56805,8774
23,10,Pulp,4.62086,5221
24,1,Pulp,0.74288,0
25,18,tsp-solver,1.73638,8231
26,14,Pulp,23.69208,7807
27,16,Pulp,47.11131,9519
28,2,Pulp,0.75976,10278
29,45,tsp-solver,10.47386,7901
30,14,tsp-solver,1.13117,8468
31,38,tsp-solver,8.59133,10423
32,1,Pulp,0.74208,0
33,34,tsp-solver,6.56588,12145
Sum,435,,230.24604999999997,217817
