,n_point,method,time[sec],TSP[m]
0,21,tsp-solver,0.11435,15924
1,1,Pulp,0.01418,0
2,12,Pulp,0.30414,4579
3,1,Pulp,0.01499,0
4,41,tsp-solver,0.50765,10207
5,1,Pulp,0.01507,0
6,29,tsp-solver,0.37721,12436
7,1,Pulp,0.01511,0
8,35,tsp-solver,0.39066,22913
9,19,tsp-solver,0.11316,16411
10,1,Pulp,0.01619,0
11,26,Pulp,21.86325,11389
12,1,Pulp,0.01748,0
13,13,Pulp,2.86609,6168
14,30,Pulp,26.6763,12243
15,14,tsp-solver,0.0636,10818
16,1,Pulp,0.01672,0
17,10,Pulp,0.60103,8658
18,64,tsp-solver,1.36905,17090
19,18,Pulp,34.8682,10843
20,7,Pulp,0.40061,5531
21,19,tsp-solver,0.12586,11211
22,7,Pulp,0.3036,4234
23,4,Pulp,0.03479,14418
24,1,Pulp,0.02337,0
25,44,tsp-solver,0.73156,10160
26,1,Pulp,0.04035,0
27,13,Pulp,2.74416,11185
Sum,435,,94.62873,216418
