,n_point,method,time[sec],TSP[m]
0,29,tsp-solver,2.4532,21625
1,62,tsp-solver,10.75518,18509
2,1,Pulp,0.45155,0
3,1,Pulp,0.42403,0
4,35,tsp-solver,2.96136,23645
5,1,Pulp,0.3677,0
6,35,tsp-solver,3.59719,22913
7,68,tsp-solver,13.34849,18149
8,1,Pulp,0.329,0
9,14,tsp-solver,0.51568,10818
10,6,Pulp,1.24633,15321
11,26,tsp-solver,1.92954,15292
12,1,Pulp,0.53696,0
13,24,tsp-solver,1.73607,19199
14,1,Pulp,0.53745,0
15,7,Pulp,2.99745,4234
16,72,tsp-solver,15.10571,21720
17,21,tsp-solver,1.11223,12485
18,4,Pulp,0.60191,14418
19,1,Pulp,0.51679,0
20,24,tsp-solver,2.08368,11972
21,1,Pulp,0.53995,0
Sum,435,,64.14744999999999,230300
