,n_point,method,time[sec],TSP[m]
0,28,tsp-solver,4.94185,7131
1,1,Pulp,0.90265,0
2,1,Pulp,1.10346,0
3,10,Pulp,12.04058,8658
4,17,tsp-solver,1.65943,11371
5,8,Pulp,13.74235,4752
6,1,Pulp,1.23239,0
7,1,Pulp,1.19364,0
8,1,Pulp,1.16509,0
9,10,Pulp,15.66764,9161
10,23,tsp-solver,3.29426,8136
11,18,tsp-solver,1.96606,10287
12,4,Pulp,1.52355,6187
13,7,Pulp,6.67924,4234
14,1,Pulp,1.57819,0
15,14,tsp-solver,1.16904,10818
16,48,tsp-solver,18.44423,13264
17,13,tsp-solver,0.91958,6168
18,55,tsp-solver,23.11515,13017
19,11,Pulp,20.37019,9391
20,1,Pulp,1.24827,0
21,12,Pulp,8.19577,4579
22,3,Pulp,1.11846,6367
23,30,tsp-solver,6.25781,7064
24,17,tsp-solver,2.08488,9385
25,14,tsp-solver,1.16313,10384
26,7,Pulp,11.36847,5531
27,1,Pulp,1.36983,0
28,1,Pulp,1.30845,0
29,17,tsp-solver,1.90252,7310
30,6,Pulp,2.84177,6181
31,8,Pulp,8.19762,5161
32,1,Pulp,1.38766,0
33,9,Pulp,15.85244,6312
34,22,tsp-solver,3.54064,10457
35,14,tsp-solver,1.28677,9714
Sum,435,,201.83306,211020
