,n_point,method,time[sec],TSP[m]
0,46,tsp-solver,6.68757,11177
1,1,Pulp,0.65946,0
2,1,Pulp,0.5608,0
3,18,tsp-solver,0.96119,11930
4,18,tsp-solver,0.7859,11551
5,1,Pulp,0.64312,0
6,20,tsp-solver,0.74265,13010
7,15,tsp-solver,0.32395,8992
8,1,Pulp,0.52808,0
9,1,Pulp,0.58079,0
10,37,tsp-solver,4.68916,16233
11,19,tsp-solver,1.08611,16411
12,14,tsp-solver,0.51706,10818
13,35,tsp-solver,4.05764,22913
14,63,tsp-solver,13.50357,16464
15,6,Pulp,1.45947,17432
16,51,tsp-solver,8.08619,12030
17,10,Pulp,5.33318,21688
18,7,Pulp,1.87876,16347
19,1,Pulp,0.76328,0
20,7,Pulp,3.24023,4234
21,1,Pulp,0.33193,0
22,23,tsp-solver,1.7889,11433
23,18,tsp-solver,1.02752,10287
24,21,tsp-solver,1.40348,15924
Sum,435,,61.63999,248874
