,n_point,method,time[sec],TSP[m]
0,22,tsp-solver,3.55419,10091
1,1,Pulp,1.56345,0
2,1,Pulp,1.47804,0
3,14,Pulp,38.78567,7807
4,12,Pulp,27.96318,10108
5,7,Pulp,2.79506,4763
6,29,tsp-solver,6.61945,10150
7,1,Pulp,1.66378,0
8,16,tsp-solver,1.83004,9388
9,1,Pulp,1.55599,0
10,32,tsp-solver,7.89943,9773
11,30,tsp-solver,6.67947,7064
12,1,Pulp,1.39604,0
13,1,Pulp,1.46649,0
14,18,tsp-solver,2.26534,14789
15,10,Pulp,21.72072,7226
16,1,Pulp,1.43013,0
17,14,tsp-solver,1.29053,10818
18,1,Pulp,1.64284,0
19,12,Pulp,46.39574,6188
20,3,Pulp,1.47451,6367
21,7,Pulp,6.94716,4234
22,15,tsp-solver,1.29582,8535
23,7,Pulp,12.01654,5531
24,14,tsp-solver,1.22349,10200
25,9,Pulp,10.02621,7017
26,31,tsp-solver,7.39248,8001
27,1,Pulp,1.87669,0
28,16,tsp-solver,1.5254,3652
29,13,tsp-solver,1.2217,6168
30,7,Pulp,7.59107,6730
31,39,tsp-solver,13.46576,7779
32,8,Pulp,13.25575,6914
33,11,tsp-solver,0.61768,5573
34,18,tsp-solver,2.53917,6360
35,1,Pulp,1.47374,0
36,11,tsp-solver,0.52523,8086
Sum,435,,264.46398000000005,209312
