,day,DriverID,dtime[min],number,weight,distance[m]
8,20200404,221096,6,2,40,1139.616271
9,20200404,221096,54,1,5,1213.74419
10,20200404,221096,21,10,193,377.3119174
11,20200404,221096,-8,1,15,1016.353135
12,20200404,221096,15,1,20,299188.3857
0,20200405,26511,3,1,1,0
1,20200405,26511,75,1,15,5732.583339
0,20200405,24089,-14,15,320,570.6967309
0,20200406,24089,13,2,12,503.3664609
1,20200406,24089,5,17,269,215.0151078
2,20200406,24089,11,18,270,24.19104
3,20200406,24089,49,16,160,308.9708802
0,20200406,24089,-14,15,320,570.6967309
0,20200406,25852,497,69,1956,163.5075468
0,20200406,26294,31,160,1610,6.406681256
1,20200406,26294,61,40,551,0
2,20200406,26294,11,2,7,1810.656106
3,20200406,26294,14,10,300,0
0,20200406,26440,196,5,54,907.9805187
1,20200406,26440,4,12,230,53.54532048
2,20200406,26440,7,3,40,150.14171
3,20200406,26440,7,1,30,666.3162163
4,20200406,26440,-96,1,5,772.3952722
5,20200406,26440,5,1,5,157.5179907
6,20200406,26440,5,5,48,174.16332
7,20200406,26440,3,4,133,113.4903134
8,20200406,26440,51,8,136,503.9263567
9,20200406,26440,-96,3,21,853.3556511
10,20200406,26440,7,1,10,17.39132307
11,20200406,26440,11,1,10,248.6049705
12,20200406,26440,4,1,7,243.2616173
13,20200406,26440,70,4,39,401.7503977
14,20200406,26440,-166,1,5,805.6488578
15,20200406,26440,13,4,78,279.0465826
16,20200406,26440,4,1,24,106.6592583
17,20200406,26440,6,5,119,237.6078065
18,20200406,26440,43,10,312,27.5410951
19,20200406,26440,8,10,280,206.0970622
20,20200406,26440,138,2,80,3007.780767
21,20200406,26440,-224,1,1,3421.715157
22,20200406,26440,3,1,2,60.71792763
0,20200406,26511,59,1,2,2648.679634
1,20200406,26511,12,1,5,1239.000167
2,20200406,26511,16,1,2,1344.707278
3,20200406,26511,13,1,5,1466.32953
4,20200406,26511,-37,1,20,1813.944983
5,20200406,26511,16,1,5,2092.874253
6,20200406,26511,18,1,1,1101.521282
7,20200406,26511,9,1,2,362.1036258
8,20200406,26511,-12,1,5,448.641266
0,20200406,31105,9,6,290,379.3228246
1,20200406,31105,10,1,24,185.5873071
2,20200406,31105,17,50,988,31236.86075
3,20200406,31105,63,1,2,31664.91214
4,20200406,31105,9,1,5,989.8791418
5,20200406,31105,3,1,8,174.8974465
6,20200406,31105,10,1,10,1034.48307
7,20200406,31105,10,1,5,1310.262659
8,20200406,31105,5,2,20,979.6607302
9,20200406,31105,4,1,6,346.0767214
10,20200406,31105,5,5,55,562.6658988
11,20200406,31105,7,1,5,370.5153986
12,20200406,31105,49,2,80,28.74785971
13,20200406,31105,7,3,42,612.2602929
14,20200406,31105,6,1,5,42.87695198
0,20200406,31202,4,2,40,230.9689987
1,20200406,31202,4,2,8,192.3882414
2,20200406,31202,3,1,5,327.0830926
3,20200406,31202,6,5,39,178.2865542
4,20200406,31202,7,4,80,196.9777526
5,20200406,31202,5,1,10,32.15499271
6,20200406,31202,5,4,107,261.5322687
7,20200406,31202,2,1,20,109.3790219
8,20200406,31202,9,1,41,169.3349596
9,20200406,31202,47,7,47,483.4750863
10,20200406,31202,4,3,31,260.6124469
11,20200406,31202,8,13,193,185.3967068
12,20200406,31202,6,1,20,125.3873834
13,20200406,31202,5,1,1,589.5349359
14,20200406,31202,6,1,25,187.2562629
15,20200406,31202,7,4,29,852.5197436
16,20200406,31202,9,1,10,56.66793977
17,20200406,31202,2,15,300,225.4847014
18,20200406,31202,52,2,20,74.77410304
19,20200406,31202,2,22,239,383.2845709
20,20200406,31202,18,2,32,508.9992149
21,20200406,31202,23,1,5,1036.547725
22,20200406,31202,7,2,6,239.9273262
23,20200406,31202,5,5,73,109.5794339
24,20200406,31202,-55,3,30,1157.440528
25,20200406,31202,50,1,10,1181.981396
0,20200406,31727,11,2,32,100.5280086
1,20200406,31727,5,1,5,532.5477384
2,20200406,31727,4,1,10,29.05850775
3,20200406,31727,5,1,2,135.2384203
4,20200406,31727,8,1,17,162.2893671
5,20200406,31727,3,2,22,20.11158516
6,20200406,31727,59,7,102,124792.8649
7,20200406,31727,2,1,2,124974.261
8,20200406,31727,3,1,10,44.93821971
9,20200406,31727,9,1,1,63.29645291
10,20200406,31727,7,41,410,26.69706177
11,20200406,31727,7,1,9,175.8723796
0,20200406,54056,12,2,42,1058.210589
1,20200406,54056,7,16,168,511.2748714
2,20200406,54056,-7,24,850,511.2748714
3,20200406,54056,66,4,145,1151.332049
4,20200406,54056,7,1,6,166.2170003
5,20200406,54056,7,20,414,46.28957562
6,20200406,54056,12,2,9,15.36150596
7,20200406,54056,1,3,1460,59.72382649
0,20200406,54548,6,3,4,1252.173763
1,20200406,54548,5,4,37,182.8203849
2,20200406,54548,16,1,5,870.6825045
3,20200406,54548,51,1,5,396662.2725
4,20200406,54548,3,2,50,397622.4575
5,20200406,54548,3,7,70,155.5928435
6,20200406,54548,4,1,5,301.3054075
7,20200406,54548,4,1,20,223.2149154
8,20200406,54548,6,1,8,454.0004908
9,20200406,54548,7,1,20,866.4144903
10,20200406,54548,3,1,2,95.03756068
11,20200406,54548,7,1,1,518.7402553
12,20200406,54548,-84,2,40,576.949443
13,20200406,54548,102,12,29,1632.067483
14,20200406,54548,43,1,80,88.95101085
15,20200406,54548,12,1,20,703.6144487
16,20200406,54548,4,1,5,657.718581
17,20200406,54548,5,1,5,821.2959955
0,20200406,55135,13,2,1980,867.7578544
1,20200406,55135,49,2,45,699.6820344
2,20200406,55135,3,1,1,134.5552776
3,20200406,55135,5,5,30,251.1174793
4,20200406,55135,5,1,104,71.71230835
5,20200406,55135,7,8,319,292.1307228
6,20200406,55135,5,1,20,296.1376646
7,20200406,55135,8,22,412,104.0589294
8,20200406,55135,4,1,20,110.7014088
9,20200406,55135,5,1,20,393.2629751
10,20200406,55135,6,3,30,278.2973295
0,20200406,55528,20,5,44,608.9111645
1,20200406,55528,7,2,3,152.188953
2,20200406,55528,8,1,19,1152.551812
3,20200406,55528,5,1,6,282.8874367
4,20200406,55528,6,1,5,1184.762473
5,20200406,55528,46,1,8,322.6723703
6,20200406,55528,8,3,16,1035.948248
7,20200406,55528,13,1,20,1555.973674
8,20200406,55528,9,1,2,1722.00524
9,20200406,55528,4,1,5,854.5683686
10,20200406,55528,5,2,23,576.6316962
11,20200406,55528,3,2,20,479.6897423
12,20200406,55528,82,2,10,353.8832578
13,20200406,55528,-72,52,857,529.5895435
14,20200406,55528,72,1,5,529.5895435
0,20200406,55890,10,25,387,777.1394254
1,20200406,55890,3,1,8,241.0590079
2,20200406,55890,6,4,604,372.8457063
3,20200406,55890,45,3,225,272.9714256
4,20200406,55890,10,15,240,504.8769944
5,20200406,55890,3,1,40,130.2040047
6,20200406,55890,2,1,2,579.7064808
7,20200406,55890,-12,1,10,438.9308112
8,20200406,55890,5,4,85,102.9444517
9,20200406,55890,7,14,238,296.9568635
10,20200406,55890,7,1,1,83.56204128
11,20200406,55890,6,3,25,734.9209816
12,20200406,55890,4,1,20,737.5145018
13,20200406,55890,2,2,80,62.21998563
14,20200406,55890,4,1,1,155.684253
15,20200406,55890,6,4,40,761.5404038
16,20200406,55890,6,25,500,359.2575787
17,20200406,55890,76,1,136,319.5201529
18,20200406,55890,17,1,50,660.9517072
19,20200406,55890,54,1,10,137.6486577
0,20200406,55996,12,2,60,193.5356945
1,20200406,55996,2,2,55,35.13881356
2,20200406,55996,5,3,20,25.92320827
3,20200406,55996,2,4,30,152.3957181
4,20200406,55996,49,1,10,167.7057203
5,20200406,55996,1,1,10,0.839385104
6,20200406,55996,2,2,17,97.00516909
7,20200406,55996,2,1,20,46.3626951
8,20200406,55996,3,1,4,70.40751708
9,20200406,55996,8,1,10,104.5795898
10,20200406,55996,1,1,6,83.05476361
11,20200406,55996,5,5,110,113.1158523
12,20200406,55996,3,2,40,32.7884042
13,20200406,55996,4,1,10,40096.71612
14,20200406,55996,1,2,40,40290.78087
15,20200406,55996,3,1,4,110.2175822
0,20200406,56023,9,2,620,3422.260902
1,20200406,56023,49,5,184,783.1122295
2,20200406,56023,4,1,4,15.78979039
3,20200406,56023,53,98,1189,505.4689931
0,20200406,56177,31,54,739,0
1,20200406,56177,49,1,10,0
2,20200406,56177,39,65,893,920.4660809
3,20200406,56177,6,8,300,110.6421126
4,20200406,56177,58,2,127,5703.506885
0,20200406,56231,5,6,110,197.2327847
1,20200406,56231,43,1,80,116.9783162
2,20200406,56231,3,1,10,123.0551158
3,20200406,56231,5,1,500,167.4931011
4,20200406,56231,-60,1,5,275.8347843
0,20200406,56267,57,4,450,1726.77735
1,20200406,56267,16,4,387,971.5490634
2,20200406,56267,18,1,2,1571.898166
3,20200406,56267,1,2,40,12.8070163
0,20200406,93826,14,6,932,9733.670273
1,20200406,93826,59,9,1152,13162.64053
2,20200406,93826,22,2,911,3355.689752
0,20200406,113370,49,1,36,1050.515758
1,20200406,113370,11,2,25,865.1749818
2,20200406,113370,4,3,18,640.6303107
3,20200406,113370,5,1,20,1037.278699
4,20200406,113370,7,1,5,751.3546891
5,20200406,113370,15,14,465,181.8969017
6,20200406,113370,10,1,3,653.925808
7,20200406,113370,6,6,319,787.2173167
8,20200406,113370,45,1,50,149.3687366
9,20200406,113370,6,4,55,350.7421319
10,20200406,113370,9,1,3,1350.123894
11,20200406,113370,18,2,660,2929.23422
0,20200406,113388,6,3,44,265.9198042
1,20200406,113388,5,4,100,197.8354847
2,20200406,113388,-5,1,15,197.8354847
3,20200406,113388,13,1,430,896.5956925
4,20200406,113388,4,1,30,651.3566001
5,20200406,113388,50,1,5,1996.49817
6,20200406,113388,4,1,20,297.3764913
7,20200406,113388,3,1,10,333.589928
8,20200406,113388,3,2,17,238.9775311
9,20200406,113388,6,1,1,1183.138937
10,20200406,113388,8,2,20,2403.389157
11,20200406,113388,4,1,10,1225.491927
0,20200406,114875,5,6,338,106.9767101
1,20200406,114875,6,12,225,171.5046742
2,20200406,114875,6,1,20,130.6818852
3,20200406,114875,7,1,20,118.1725847
4,20200406,114875,3,2,12,245.275536
5,20200406,114875,2,1,12,131.9783238
6,20200406,114875,8,2,40,818.7985716
7,20200406,114875,77,2,40,461.137128
0,20200406,115430,94,51,1126,8598.618564
0,20200406,131829,63,1,147,2507.901067
1,20200406,131829,11,1,82,2710.943485
2,20200406,131829,8,1,5,304.3360591
3,20200406,131829,7,2,75,311.9746099
4,20200406,131829,376,3,50,2894.678281
5,20200406,131829,28,2,260,2754.008415
0,20200406,131960,13,10,959,392.6864289
1,20200406,131960,11,100,800,1172.651349
2,20200406,131960,2,7,1143,3713.677594
0,20200406,131970,166,20,590,1283.485659
1,20200406,131970,14,1,550,532.6356605
2,20200406,131970,20,3,72,1448.172126
3,20200406,131970,780,1,5,2713.380448
0,20200406,131994,207,19,380,0
1,20200406,131994,-25,2,10,564.0136211
2,20200406,131994,14,6,54,1436.450686
0,20200406,152412,11,1,600,8.701372972
1,20200406,152412,9,16,257,1550.089018
2,20200406,152412,52,8,195,357.0760866
3,20200406,152412,14,5,57,3024.981878
0,20200406,156126,22,20,154,1458.712833
1,20200406,156126,-6,2,430,598.5396845
2,20200406,156126,65,3,194,652.0659219
0,20200406,156804,1,8,558,21976.96075
1,20200406,156804,-1,45,535,26.75367514
2,20200406,156804,-168,44,1174,18817.33063
0,20200406,213545,6,4,380,266.4922208
1,20200406,213545,18,133,837,3514.52016
2,20200406,213545,13,17,264,0
3,20200406,213545,5,10,130,0
4,20200406,213545,43,1,20,60.76484596
5,20200406,213545,333,1,3,1663.101528
6,20200406,213545,5,3,480,0
0,20200406,214147,47,1,70,375.6840647
1,20200406,214147,26,10,150,1213.541715
2,20200406,214147,-24,2,33,1213.541715
3,20200406,214147,24,1,2,1213.541715
4,20200406,214147,2,3,190,0
5,20200406,214147,16,1,10,2307.456033
6,20200406,214147,1,19,70,0
0,20200406,214532,6,2,42,444.8364183
1,20200406,214532,15,15,345,1426.567193
2,20200406,214532,9,1,2,407.130963
3,20200406,214532,4,2,58,123.9825487
4,20200406,214532,3,1,8,230.1978552
5,20200406,214532,43,1,5,114.8260052
6,20200406,214532,9,1,2,181.1275383
7,20200406,214532,3,1,10,44.23114113
8,20200406,214532,3,4,46,221.9376933
9,20200406,214532,4,6,19,488.1588738
10,20200406,214532,12,1,12,645.0625828
11,20200406,214532,3,1,20,231.0990379
12,20200406,214532,11,45,712,285.447933
13,20200406,214532,4,1,2,414.2440009
14,20200406,214532,8,1,24,480.4096945
15,20200406,214532,44,3,28,190.7551926
16,20200406,214532,251,1,70,1505.884466
0,20200406,214811,4,5,56,0
1,20200406,214811,12,3,1250,1135.528532
2,20200406,214811,8,4,809,43.17109263
3,20200406,214811,12,2,200,239.5070639
4,20200406,214811,4,9,13,104.9101374
5,20200406,214811,9,9,122,84.13655455
0,20200406,214818,4,1,7,208.0273006
1,20200406,214818,5,1,10,291.2075151
2,20200406,214818,25,19,134,430.3819316
3,20200406,214818,5,25,462,89.43358434
