,day,DriverID,dtime[min],number,weight,distance[m]
0,20200601,12426,11.0,1.0,20.0,1237.8273089429329
1,20200601,12426,5.0,1.0,80.0,1394.7356527963618
2,20200601,12426,7.0,2.0,60.0,1535.0277482824692
3,20200601,12426,4.0,2.0,23.0,1024.6567815973542
4,20200601,12426,2.0,1.0,8.0,0.0
5,20200601,12426,-2.0,1.0,10.0,0.0
6,20200601,12426,7.0,1.0,10.0,1061.5293188398125
7,20200601,12426,3.0,1.0,2.0,125.46858227049876
8,20200601,12426,4.0,1.0,20.0,918.552000960343
9,20200601,12426,4.0,10.0,250.0,671.216104657093
0,20200601,24089,-14.0,15.0,320.0,570.6967309070916
0,20200601,25852,497.0,69.0,1956.0,163.50754675324762
0,20200601,26294,31.0,160.0,1610.0,6.406681255798339
1,20200601,26294,61.0,40.0,551.0,0.0
2,20200601,26294,11.0,2.0,7.0,1810.6561063619754
3,20200601,26294,14.0,10.0,300.0,0.0
0,20200601,26440,196.0,5.0,54.0,907.980518702006
1,20200601,26440,4.0,12.0,230.0,53.54532048087566
2,20200601,26440,7.0,3.0,40.0,150.14170995203918
3,20200601,26440,7.0,1.0,30.0,666.3162162901443
4,20200601,26440,-96.0,1.0,5.0,772.3952722123354
5,20200601,26440,5.0,1.0,5.0,157.51799074931475
6,20200601,26440,5.0,5.0,48.0,174.16331995082473
7,20200601,26440,3.0,4.0,133.0,113.49031340271368
8,20200601,26440,51.0,8.0,136.0,503.9263567339991
9,20200601,26440,-96.0,3.0,21.0,853.3556510849196
10,20200601,26440,7.0,1.0,10.0,17.39132307065566
11,20200601,26440,11.0,1.0,10.0,248.6049704618482
12,20200601,26440,4.0,1.0,7.0,243.2616173100496
13,20200601,26440,70.0,4.0,39.0,401.7503976850738
14,20200601,26440,-166.0,1.0,5.0,805.6488577796155
15,20200601,26440,13.0,4.0,78.0,279.0465825666904
16,20200601,26440,4.0,1.0,24.0,106.65925833150943
17,20200601,26440,6.0,5.0,119.0,237.60780648465925
18,20200601,26440,43.0,10.0,312.0,27.541095095151242
19,20200601,26440,8.0,10.0,280.0,206.09706216777107
20,20200601,26440,138.0,2.0,80.0,3007.7807670776915
21,20200601,26440,-224.0,1.0,1.0,3421.715156692331
22,20200601,26440,3.0,1.0,2.0,60.717927627496415
0,20200601,26511,59.0,1.0,2.0,2648.679633942665
1,20200601,26511,12.0,1.0,5.0,1239.000167113489
2,20200601,26511,16.0,1.0,2.0,1344.7072782422053
3,20200601,26511,13.0,1.0,5.0,1466.3295298627725
4,20200601,26511,-37.0,1.0,20.0,1813.9449825583636
5,20200601,26511,16.0,1.0,5.0,2092.8742529988062
6,20200601,26511,18.0,1.0,1.0,1101.5212816161113
7,20200601,26511,9.0,1.0,2.0,362.10362576586704
8,20200601,26511,-12.0,1.0,5.0,448.64126604263356
0,20200601,31105,9.0,6.0,290.0,379.3228245858124
1,20200601,31105,10.0,1.0,24.0,185.58730707090328
2,20200601,31105,17.0,50.0,988.0,31236.860752396384
3,20200601,31105,63.0,1.0,2.0,31664.912138750704
4,20200601,31105,9.0,1.0,5.0,989.8791417637167
5,20200601,31105,3.0,1.0,8.0,174.8974464519885
6,20200601,31105,10.0,1.0,10.0,1034.4830700145096
7,20200601,31105,10.0,1.0,5.0,1310.2626590286832
8,20200601,31105,5.0,2.0,20.0,979.6607301797361
9,20200601,31105,4.0,1.0,6.0,346.0767213821623
10,20200601,31105,5.0,5.0,55.0,562.6658988367658
11,20200601,31105,7.0,1.0,5.0,370.5153986024763
12,20200601,31105,49.0,2.0,80.0,28.74785971352173
13,20200601,31105,7.0,3.0,42.0,612.2602928619467
14,20200601,31105,6.0,1.0,5.0,42.87695198378029
0,20200601,31202,4.0,2.0,40.0,230.96899874596264
1,20200601,31202,4.0,2.0,8.0,192.38824140617217
2,20200601,31202,3.0,1.0,5.0,327.08309260947266
3,20200601,31202,6.0,5.0,39.0,178.28655420544987
4,20200601,31202,7.0,4.0,80.0,196.97775261777932
5,20200601,31202,5.0,1.0,10.0,32.15499271027822
6,20200601,31202,5.0,4.0,107.0,261.53226867377117
7,20200601,31202,2.0,1.0,20.0,109.3790218816819
8,20200601,31202,9.0,1.0,41.0,169.33495957785328
9,20200601,31202,47.0,7.0,47.0,483.47508630895584
10,20200601,31202,4.0,3.0,31.0,260.61244690001286
11,20200601,31202,8.0,13.0,193.0,185.39670679114766
12,20200601,31202,6.0,1.0,20.0,125.38738339307504
13,20200601,31202,5.0,1.0,1.0,589.5349358704997
14,20200601,31202,6.0,1.0,25.0,187.25626285540247
15,20200601,31202,7.0,4.0,29.0,852.5197436088779
16,20200601,31202,9.0,1.0,10.0,56.66793977310726
17,20200601,31202,2.0,15.0,300.0,225.48470143093883
18,20200601,31202,52.0,2.0,20.0,74.77410304010309
19,20200601,31202,2.0,22.0,239.0,383.28457094227105
20,20200601,31202,18.0,2.0,32.0,508.9992149117902
21,20200601,31202,23.0,1.0,5.0,1036.5477254943155
22,20200601,31202,7.0,2.0,6.0,239.92732617071027
23,20200601,31202,5.0,5.0,73.0,109.57943387217637
24,20200601,31202,-55.0,3.0,30.0,1157.4405281365875
25,20200601,31202,50.0,1.0,10.0,1181.9813963648594
0,20200601,31727,11.0,2.0,32.0,100.52800862388104
1,20200601,31727,5.0,1.0,5.0,532.5477383520492
2,20200601,31727,4.0,1.0,10.0,29.058507750235513
3,20200601,31727,5.0,1.0,2.0,135.23842025193804
4,20200601,31727,8.0,1.0,17.0,162.28936708542304
5,20200601,31727,3.0,2.0,22.0,20.111585157733213
6,20200601,31727,59.0,7.0,102.0,124792.86492386396
7,20200601,31727,2.0,1.0,2.0,124974.2610316601
8,20200601,31727,3.0,1.0,10.0,44.93821970761981
9,20200601,31727,9.0,1.0,1.0,63.29645291123451
10,20200601,31727,7.0,41.0,410.0,26.697061766930883
11,20200601,31727,7.0,1.0,9.0,175.87237957034165
0,20200601,54056,12.0,2.0,42.0,1058.2105894710203
1,20200601,54056,7.0,16.0,168.0,511.27487137248085
2,20200601,54056,-7.0,24.0,850.0,511.27487137248085
3,20200601,54056,66.0,4.0,145.0,1151.3320486576467
4,20200601,54056,7.0,1.0,6.0,166.21700027949956
5,20200601,54056,7.0,20.0,414.0,46.289575622032416
6,20200601,54056,12.0,2.0,9.0,15.361505962732066
7,20200601,54056,1.0,3.0,1460.0,59.72382648578452
0,20200601,54548,6.0,3.0,4.0,1252.1737626309473
1,20200601,54548,5.0,4.0,37.0,182.8203849324391
2,20200601,54548,16.0,1.0,5.0,870.6825044710205
3,20200601,54548,51.0,1.0,5.0,396662.27245704306
4,20200601,54548,3.0,2.0,50.0,397622.45747550006
5,20200601,54548,3.0,7.0,70.0,155.59284347691207
6,20200601,54548,4.0,1.0,5.0,301.3054075068875
7,20200601,54548,4.0,1.0,20.0,223.2149154331398
8,20200601,54548,6.0,1.0,8.0,454.0004908338542
9,20200601,54548,7.0,1.0,20.0,866.4144903454669
10,20200601,54548,3.0,1.0,2.0,95.03756067560852
11,20200601,54548,7.0,1.0,1.0,518.7402553245673
12,20200601,54548,-84.0,2.0,40.0,576.9494429586542
13,20200601,54548,102.0,12.0,29.0,1632.0674825708131
14,20200601,54548,43.0,1.0,80.0,88.95101084620052
15,20200601,54548,12.0,1.0,20.0,703.6144486555125
16,20200601,54548,4.0,1.0,5.0,657.7185810244067
17,20200601,54548,5.0,1.0,5.0,821.2959955010634
0,20200601,55135,13.0,2.0,1980.0,867.7578544378199
1,20200601,55135,49.0,2.0,45.0,699.6820343692955
