,n_point,method,time[sec],TSP[m]
0,17,tsp-solver,0.05287,9385
1,1,tsp-solver,2e-05,0
2,14,tsp-solver,0.02975,7895
3,1,tsp-solver,3e-05,0
4,51,tsp-solver,0.47601,13781
5,1,tsp-solver,5e-05,0
6,15,tsp-solver,0.03593,8071
8,16,tsp-solver,0.0421,10501
9,26,tsp-solver,0.1104,11205
11,63,tsp-solver,0.64675,13663
12,1,tsp-solver,7e-05,0
13,7,tsp-solver,0.0071,5760
14,14,tsp-solver,0.03343,10818
15,8,tsp-solver,0.01074,7698
16,18,tsp-solver,0.04889,10287
17,23,tsp-solver,0.09539,10996
18,10,tsp-solver,0.01683,9449
19,7,tsp-solver,0.0064,4253
20,18,tsp-solver,0.05914,14789
22,14,tsp-solver,0.03451,8653
23,31,tsp-solver,0.15385,8097
24,13,tsp-solver,0.02901,9054
25,11,tsp-solver,0.01868,5917
27,6,tsp-solver,0.00522,15321
28,23,tsp-solver,0.0809,8533
29,3,tsp-solver,0.00151,6367
30,18,tsp-solver,0.04964,13907
Sum,430,,2.04522,224400
