,n_point,method,time[sec],TSP[m]
0,25,tsp-solver,0.04469,12807
1,1,tsp-solver,1e-05,0
3,18,tsp-solver,0.02284,11362
4,32,tsp-solver,0.07363,20712
5,62,tsp-solver,0.26672,15288
6,1,tsp-solver,4e-05,0
7,20,tsp-solver,0.02796,15145
9,15,tsp-solver,0.01549,13810
10,71,tsp-solver,0.35459,14620
11,1,tsp-solver,8e-05,0
12,20,tsp-solver,0.02805,11470
13,22,tsp-solver,0.03417,10091
14,20,tsp-solver,0.02822,12405
16,9,tsp-solver,0.00562,31890
18,7,tsp-solver,0.00318,5760
19,27,tsp-solver,0.05153,12660
20,15,tsp-solver,0.01565,10450
21,17,tsp-solver,0.02126,13439
22,9,tsp-solver,0.00543,19215
23,32,tsp-solver,0.07048,9297
24,7,tsp-solver,0.00331,4253
Sum,431,,1.07295,244674
