,n_point,method,time[sec],TSP[m]
0,16,tsp-solver,0.04364,9719
1,1,tsp-solver,2e-05,0
2,10,tsp-solver,0.01468,11406
4,31,tsp-solver,0.17564,8097
5,1,tsp-solver,4e-05,0
6,7,tsp-solver,0.00768,4253
7,15,tsp-solver,0.03515,9679
8,25,tsp-solver,0.105,13462
9,14,tsp-solver,0.02937,10818
11,26,tsp-solver,0.11175,11205
12,1,tsp-solver,3e-05,0
13,24,tsp-solver,0.08652,8511
14,16,tsp-solver,0.03807,12002
16,21,tsp-solver,0.07178,9116
17,14,tsp-solver,0.03553,7895
18,19,tsp-solver,0.05503,8217
19,14,tsp-solver,0.03052,8653
21,1,tsp-solver,1e-05,0
22,7,tsp-solver,0.00883,5760
23,10,tsp-solver,0.01571,9449
24,8,tsp-solver,0.01026,8035
25,2,tsp-solver,0.00071,10278
26,48,tsp-solver,0.37201,13264
27,7,tsp-solver,0.00762,6130
28,7,tsp-solver,0.00733,7091
29,15,tsp-solver,0.03618,11017
30,18,tsp-solver,0.05205,10287
32,52,tsp-solver,0.83169,9289
Sum,430,,2.18285,223633
