,n_point,method,time[sec],TSP[m]
0,10,tsp-solver,0.00684,9658
1,65,tsp-solver,0.29828,17050
2,1,tsp-solver,9e-05,0
3,1,tsp-solver,1e-05,0
4,18,tsp-solver,0.0224,13907
5,20,tsp-solver,0.02788,13010
8,24,tsp-solver,0.03975,13149
9,64,tsp-solver,0.28692,14595
10,17,tsp-solver,0.02038,9385
12,14,tsp-solver,0.01351,10818
13,34,tsp-solver,0.08332,22682
14,7,tsp-solver,0.00315,4253
15,15,tsp-solver,0.0156,8992
16,4,tsp-solver,0.00146,14418
17,18,tsp-solver,0.02258,14789
18,1,tsp-solver,3e-05,0
20,54,tsp-solver,0.2052,13547
21,12,tsp-solver,0.01011,5589
22,18,tsp-solver,0.02283,10287
23,7,tsp-solver,0.00357,16595
24,7,tsp-solver,0.00329,5760
25,19,tsp-solver,0.02568,15832
Sum,430,,1.11288,234316
