,n_point,method,time[sec],TSP[m]
0,18,tsp-solver,0.04996,14789
1,1,tsp-solver,2e-05,0
2,42,tsp-solver,0.30375,10625
3,1,tsp-solver,4e-05,0
4,8,tsp-solver,0.0097,7698
5,26,tsp-solver,0.11908,11205
6,1,tsp-solver,3e-05,0
7,8,tsp-solver,0.00962,6876
8,7,tsp-solver,0.00873,7689
9,1,tsp-solver,1e-05,0
10,53,tsp-solver,0.47656,9780
11,14,tsp-solver,0.03486,10818
13,10,tsp-solver,0.01466,9449
14,9,tsp-solver,0.0146,6101
15,7,tsp-solver,0.00754,4253
16,31,tsp-solver,0.17449,8097
19,7,tsp-solver,0.00779,5760
20,21,tsp-solver,0.07711,10346
22,17,tsp-solver,0.04437,9385
24,14,tsp-solver,0.03338,8653
25,17,tsp-solver,0.05593,7310
26,3,tsp-solver,0.0014,6367
27,14,tsp-solver,0.03168,7895
29,14,tsp-solver,0.02975,5638
30,10,tsp-solver,0.0147,5221
31,7,tsp-solver,0.0079,6230
32,17,tsp-solver,0.04731,11371
33,14,tsp-solver,0.02986,8468
34,15,tsp-solver,0.03324,7474
35,22,tsp-solver,0.07351,7449
Sum,429,,1.7115799999999999,214947
