,n_point,method,time[sec],TSP[m]
0,48,tsp-solver,0.36075,13264
1,1,tsp-solver,5e-05,0
2,3,tsp-solver,0.00127,6367
3,1,tsp-solver,2e-05,0
4,15,tsp-solver,0.03393,8535
6,30,tsp-solver,0.14421,7064
7,1,tsp-solver,3e-05,0
8,18,tsp-solver,0.0637,8492
9,14,tsp-solver,0.03466,10818
10,13,tsp-solver,0.02784,6168
11,19,tsp-solver,0.0647,11211
12,7,tsp-solver,0.00701,5760
13,7,tsp-solver,0.0067,4253
14,10,tsp-solver,0.01568,9449
16,7,tsp-solver,0.00728,7106
18,1,tsp-solver,1e-05,0
19,13,tsp-solver,0.02503,8605
20,18,tsp-solver,0.05701,14789
21,9,tsp-solver,0.01333,7134
22,14,tsp-solver,0.03491,7895
24,48,tsp-solver,0.37685,11776
25,22,tsp-solver,0.07336,10091
26,23,tsp-solver,0.07676,8136
27,27,tsp-solver,0.11513,6744
28,11,tsp-solver,0.01831,5917
29,14,tsp-solver,0.03708,7781
30,12,tsp-solver,0.02549,10171
33,8,tsp-solver,0.00943,7698
34,15,tsp-solver,0.03459,8071
Sum,429,,1.6651200000000002,213295
