,n_point,method,time[sec],TSP[m]
0,26,tsp-solver,0.04875,24816
1,1,tsp-solver,1e-05,0
3,24,tsp-solver,0.04042,19199
4,19,tsp-solver,0.02544,11438
5,45,tsp-solver,0.14194,11447
6,35,tsp-solver,0.08866,22913
7,1,tsp-solver,2e-05,0
9,58,tsp-solver,0.23082,14183
10,14,tsp-solver,0.01404,10818
12,19,tsp-solver,0.02518,11211
13,35,tsp-solver,0.08763,23645
15,65,tsp-solver,0.29642,17252
16,15,tsp-solver,0.01588,11295
17,6,tsp-solver,0.00254,17444
18,18,tsp-solver,0.02272,12425
21,28,tsp-solver,0.05575,12034
22,20,tsp-solver,0.02858,13010
Sum,429,,1.1248,233130
