,n_point,method,time[sec],TSP[m]
0,10,tsp-solver,0.0171,4748
1,1,tsp-solver,2e-05,0
3,10,tsp-solver,0.01626,9658
4,17,tsp-solver,0.05484,7483
5,15,tsp-solver,0.03705,12813
7,18,tsp-solver,0.04797,10287
8,18,tsp-solver,0.04825,13907
9,12,tsp-solver,0.02278,8557
10,17,tsp-solver,0.04638,5452
12,1,tsp-solver,1e-05,0
13,14,tsp-solver,0.03165,10818
15,7,tsp-solver,0.00682,4253
16,5,tsp-solver,0.00346,5271
17,43,tsp-solver,0.29152,8497
18,1,tsp-solver,4e-05,0
19,13,tsp-solver,0.02426,6168
21,22,tsp-solver,0.06909,7912
22,1,tsp-solver,3e-05,0
23,15,tsp-solver,0.03212,7077
24,10,tsp-solver,0.01698,9449
25,7,tsp-solver,0.00876,5760
26,41,tsp-solver,0.26495,8917
27,4,tsp-solver,0.00252,2644
29,12,tsp-solver,0.02153,5589
30,3,tsp-solver,0.00164,6367
31,8,tsp-solver,0.0095,5181
32,16,tsp-solver,0.03972,9388
33,19,tsp-solver,0.05788,6057
34,16,tsp-solver,0.04402,8060
35,8,tsp-solver,0.00923,4769
36,36,tsp-solver,0.22051,7846
37,9,tsp-solver,0.01192,7134
Sum,429,,1.45881,210062
