,n_point,method,time[sec],TSP[m]
0,18,tsp-solver,0.05566,13907
1,1,tsp-solver,3e-05,0
2,1,tsp-solver,2e-05,0
3,9,tsp-solver,0.01164,6101
4,10,tsp-solver,0.01708,9658
5,54,tsp-solver,0.49274,12866
6,46,tsp-solver,0.34497,12094
7,1,tsp-solver,4e-05,0
8,9,tsp-solver,0.01202,7366
10,35,tsp-solver,0.19848,12307
12,17,tsp-solver,0.04818,13439
13,7,tsp-solver,0.00822,7106
14,12,tsp-solver,0.02117,5589
16,14,tsp-solver,0.03223,10818
17,14,tsp-solver,0.0314,8653
19,14,tsp-solver,0.0304,9255
20,12,tsp-solver,0.0222,8774
22,18,tsp-solver,0.05395,10588
23,7,tsp-solver,0.00735,4253
24,33,tsp-solver,0.18028,7820
25,7,tsp-solver,0.00724,5760
26,25,tsp-solver,0.10204,9255
27,14,tsp-solver,0.03247,7781
29,1,tsp-solver,1e-05,0
30,22,tsp-solver,0.07829,10091
31,3,tsp-solver,0.00154,6367
32,15,tsp-solver,0.03638,8071
33,10,tsp-solver,0.01609,5221
Sum,429,,1.8421200000000002,213140
