,n_point,method,time[sec],TSP[m]
0,10,tsp-solver,0.00677,9449
1,1,tsp-solver,1e-05,0
2,8,tsp-solver,0.00446,21211
4,31,tsp-solver,0.0658,8796
5,17,tsp-solver,0.02061,9385
6,14,tsp-solver,0.01409,8653
9,16,tsp-solver,0.01777,9918
10,17,tsp-solver,0.02036,12371
11,25,tsp-solver,0.04368,13192
12,35,tsp-solver,0.08913,12307
13,1,tsp-solver,2e-05,0
15,63,tsp-solver,0.27842,13960
16,14,tsp-solver,0.01467,10818
17,18,tsp-solver,0.02295,12425
18,18,tsp-solver,0.02304,14789
19,7,tsp-solver,0.00373,5760
21,25,tsp-solver,0.04543,13462
22,7,tsp-solver,0.00344,4253
23,19,tsp-solver,0.02524,11211
24,18,tsp-solver,0.02295,13907
26,3,tsp-solver,0.00068,13597
27,62,tsp-solver,0.2689,15288
Sum,429,,0.9921500000000001,234752
