,n_point,method,time[sec],TSP[m]
0,27,tsp-solver,0.05089,24833
1,1,tsp-solver,1e-05,0
3,19,tsp-solver,0.02584,11438
4,74,tsp-solver,0.38395,22075
5,35,tsp-solver,0.0879,23645
6,1,tsp-solver,2e-05,0
8,71,tsp-solver,0.35508,18108
9,1,tsp-solver,4e-05,0
10,60,tsp-solver,0.26032,18108
11,14,tsp-solver,0.0145,10818
12,21,tsp-solver,0.03143,13172
13,35,tsp-solver,0.08719,22913
15,24,tsp-solver,0.04062,19199
16,15,tsp-solver,0.01582,11295
18,7,tsp-solver,0.00336,28766
19,26,tsp-solver,0.04857,15292
Sum,431,,1.40554,239662
