,n_point,method,time[sec],TSP[m]
0,17,tsp-solver,0.02026,13439
1,1,tsp-solver,1e-05,0
2,73,tsp-solver,0.37153,18491
3,1,tsp-solver,7e-05,0
4,6,tsp-solver,0.00245,17444
5,18,tsp-solver,0.02238,10588
7,55,tsp-solver,0.21527,15430
8,21,tsp-solver,0.03114,13172
9,35,tsp-solver,0.08862,22913
10,1,tsp-solver,2e-05,0
11,14,tsp-solver,0.01336,10818
13,26,tsp-solver,0.04788,15292
14,67,tsp-solver,0.31145,15982
15,1,tsp-solver,5e-05,0
17,19,tsp-solver,0.02514,11438
18,18,tsp-solver,0.02239,13907
19,25,tsp-solver,0.04393,24031
20,16,tsp-solver,0.01789,24099
21,18,tsp-solver,0.02287,14263
Sum,432,,1.2567099999999998,241307
